"","Original_taxa"
"2144","Vicia cracca-type"
"2145","Ononis subspicata-type"
"2146","Gentianella"
"2147","Rhinanthus"
"2150","Boerhavia"
"2151","Cardiospermum"
"2152","Crossandra"
"2153","Enicostema"
"2154","Hypoestes"
"2155","Icacinaceae"
"2156","Ixora"
"2157","Lawsonia"
"2158","Leonotis"
"2159","Leptaulus"
"2160","Leucas"
"2161","Linociera"
"2162","Mitriostigma"
"2163","Monolete echinate spores"
"2164","Monolete psilate spores"
"2165","Monolete reticulate spores"
"2166","Monolete verrucate spores"
"2167","Nauclea"
"2168","Ocimum"
"2169","Pouchetia"
"2170","Protea"
"2171","Pterocarpus"
"2172","Sesbania"
"2173","Sherbournia"
"2174","Spondias-type"
"2175","Syzygium/Eugenia"
"2176","Trilete reticulate spores"
"2177","Trilete verrucate spores"
"2178","Erica undiff."
"2179","Gentiana pneumonanthe-type"
"2180","Centaurium pulchellum-type"
"2181","Urtica-type"
"2182","Valerianella-type"
"2183","Simethis planifolia"
"2184","Montia fontana-type"
"2185","Myosotis arvensis-type"
"2186","Circaea"
"2187","Humulus-type"
"2188","Cystopteris"
"2189","Typha (tetrad)"
"2190","Myriophyllum verticillatum"
"2191","Pedicularis-type"
"2192","Callitriche"
"2193","Trollius europaeus-type"
"2194","Pseudoschizaea circula"
"2195","Anthemis"
"2196","Unknown (type 33, HdV)"
"2197","Sordaria-type (type 55A, HdV)"
"2198","Tilletia sphagni (type 27, HdV)"
"2199","Polemonium"
"2200","Algae? (type 229, HdV)"
"2201","Pinus subg. Strobus-type"
"2202","Coniochaeta xylariispora (type 6, HdV)"
"2203","Chaetomium sp. (type 7A, HdV)"
"2204","Pinus pinea-type"
"2206","Unknown (types 181-182)"
"2207","Rivularia-type"
"2209","Zygnema-type"
"2210","Armeria/Limonium-type"
"2211","Unknown (type 181, HdV)"
"2212","Polypodiophyta (monolete) undiff."
"2213","Riccia undiff."
"2214","Agrimonia"
"2215","cf. Juniperus"
"2216","Coriaria"
"2217","Actinopteris radiata"
"2218","Aizoon canariense"
"2219","Anthocerotales"
"2220","Launaea taraxa"
"2221","Pentzia monodiana"
"2222","Amaranthaceae undiff."
"2223","Asteraceae subf. Asteroideae-type"
"2224","Asteraceae subf. Cichorioideae-type"
"2225","Plantago-type"
"2226","Viola-type"
"2227","Capparis-Cadaba-type"
"2228","Sesbania-type"
"2229","Typha/Sparganium-type"
"2230","Tilia-type"
"2231","Pteridophyta (trilete)"
"2232","Anthoceros"
"2233","Chrysophyceae"
"2234","Farne"
"2236","Compositae tub."
"2237","Varia unbestimmbar"
"2238","varia unbestimmbar"
"2239","Farne/Sporen"
"2240","Opal phytolithe"
"2241","Nucularia"
"2242","Compositae tubu"
"2243","Spore monolete"
"2244","Compositae ligu"
"2245","Ephedra frag."
"2247","Sporen monolet"
"2248","Plantogo"
"2249","Asclepedoaceae"
"2250","Monsonia"
"2251","Ephedra dist.-Typ"
"2252","Quercus pub.-Typ"
"2253","Quercus ilex-Typ"
"2254","Carpinus bet."
"2255","Polypodiaciaceae"
"2256","Lemna-type"
"2257","Cyperus"
"2258","Acaccia"
"2259","Prunus type"
"2260","Bougenvillea"
"2261","Pterocarya fraxinifolia"
"2262","Morus cf"
"2263","Rhus coriaria"
"2264","Poaceae big"
"2265","Aster type"
"2266","Anthemis type"
"2267","Centaurea jacea type"
"2268","Cichorioidae"
"2269","Sinapis type"
"2270","Cardamine type"
"2271","Ranunculus type"
"2272","Ranunculus arvensis"
"2273","Ballota type"
"2274","Prunella type"
"2275","Scrophularia type"
"2276","Polygonum sp."
"2277","Fallopia convolvulus"
"2278","Apium type"
"2279","Peucedanum"
"2280","Conium type"
"2281","Cicuta virosa type"
"2282","Heracleum spondylium"
"2283","Trifolium pratense"
"2284","Trifolium repens type"
"2285","Genista type"
"2286","Lotus type"
"2287","Galium type"
"2288","Viola odorata"
"2289","jasione cf"
"2290","Silene type"
"2291","Gentiana cf"
"2292","Grattiola"
"2293","Alchemilla pent."
"2294","tetrada"
"2295","Plantago albicans"
"2296","Osyris alba"
"2297","cf Kickxia"
"2298","Hyoscyamus aalbus"
"2299","Pimpinella saxifraga"
"2300","Plantago maior"
"2301","Plantago media"
"2302","Rumex a-a type"
"2303","Rumex acetosa type"
"2304","Rumex acetosella type"
"2305","Papaver rhoeas"
"2306","Spergularia"
"2307","Triticum type"
"2308","Avena type"
"2309","Hordeum type"
"2310","cereals undiff."
"2311","Carex type"
"2312","Schoenoplectus type"
"2313","Schoenus type"
"2314","monolete fern spores"
"2315","Cryptogamma"
"2316","Typha latyfolia"
"2317","Myriophyllum verticilatum"
"2319","Alisma type"
"2320","Elatine"
"2321","Littorella type"
"2322","Hippuris vulgaris"
"2323","Ceratophyllum w?oski"
"2324","Pediastrum boryanum"
"2325","Ped bor. var. brevicorne"
"2326","P. duplex var duplex"
"2327","Ped. simplex"
"2328","P. simplex var. simplex"
"2329","P. simplex var clathratum"
"2330","P. simplex var. bivaense"
"2331","P. simplex var sturmii"
"2332","P. simplex var. echinulatum"
"2333","Coelastrum"
"2334","Scenedesmus"
"2335","Copepoda"
"2337","Aaronsohnia-type"
"2338","Aerva javanica"
"2339","Algae undiff."
"2340","Apocynaceae (type 3)"
"2341","Arnebia"
"2342","Arthrocaulon-type"
"2343","Atractylis"
"2344","Barbeya oleoides"
"2345","Boerhavia-type erecta"
"2346","Boscia/Cadaba"
"2347","Caesalpinioideae undiff."
"2348","Centaurea sinaica-type"
"2349","Centaurium pulchellum"
"2350","Chrozophora tinctoria"
"2351","Cissampelos"
"2352","Cornulaca/Aerva"
"2353","Dinoflagellata undiff."
"2354","Dinoflagellate (Braun)"
"2355","Dipterygium"
"2356","Dissotis-type"
"2357","Eriosema-type"
"2358","Heliotropium-type lithospermoides"
"2359","Limonium-type"
"2360","Lippia-type"
"2361","Macaranga-type"
"2362","Moltkiopsis"
"2363","Monoletes (psilate)"
"2364","Monsonia heliotropioides-type"
"2365","Neurada procumbens"
"2366","Olea capensis-type"
"2367","Olea europaea-type"
"2368","Oleaceae undiff."
"2369","Polydora serratuloides"
"2370","Polygonum bellardii-type"
"2371","Psoralea"
"2372","Pulicaria"
"2373","Rhanterium-type"
"2374","Scrophulariaceae-type"
"2375","Solanaceae undiff."
"2376","Sorindeia"
"2377","Tephrosia-type"
"2378","Tintinnidiidae"
"2379","Trichodesma"
"2380","Unknown (type 1)"
"2381","Unknown (type 2)"
"2382","Unknown (type 3)"
"2383","Unknown (type 4)"
"2384","Vahlia-type"
"2385","Vitaceae undiff."
"2386","Zygnemataceae undiff."
"2389","Rumex/Oxyria-type"
"2390","Aster"
"2391","Verbascum"
"2392","Atriplex"
"2393","Galeopsis"
"2394","Ononis"
"2395","Vitex"
"2396","Centaurea nigra"
"2397","Carlina-type"
"2398","Rumex conglomeratus"
"2399","Hedysarum"
"2405","Cyperacea"
"2406","Typha (Typhaceae)"
"2407","Graminae ? 25 µm"
"2408","olea (oleacea)"
"2409","Asteroideae (Compositae Tubuliflorae)"
"2410","Amaranthaceae/Chenopodiaceae/Caryophyllaceae"
"2411","Acacia (Mimosaceae)"
"2412","Boreria spermacore (Rubeacea)"
"2413","Mimosa type"
"2414","Zizyphus (Rhamaceae)"
"2415","Boscia-type (Capparidacea)"
"2416","Butyrospemum (Sapotacea)"
"2417","Pliostigma (Caesalpiniaceae)"
"2418","Pterocarpus - type (fabaceae)"
"2419","Vernonia-type (Asteraceae)"
"2420","Indigofora"
"2421","Stereospermum - type (Bignoniaceae)"
"2422","Phoenix-type (Palmae)"
"2423","Anonaceae"
"2424","(Rubeacea)Canthium subcordatum"
"2425","Sp indetérminés"
"2426","Sp indeterminables"
"2427","Rubeacea"
"2428","clematis"
"2429","Fraximus"
"2430","Cuviera"
"2431","foraminifera"
"2432","spores"
"2433","Fungal spores"
"2434","Soenedesmus"
"2435","Cosmanium"
"2436","les ronds spiraux"
"2437","Staumastrum"
"2438","pollen indet"
"2442","Indeterminata/varia"
"2443","Artemisia (Africa)"
"2444","Centaurea (Africa)"
"2445","Cotula-type"
"2446","Compositae Liguliflorae"
"2447","Compositae Tubuliflorae"
"2448","Compositae Vernonieae"
"2449","Blighia-type"
"2450","Celastraceae/Hippocrateaceae"
"2451","Combretum-type"
"2452","Cnestis-type"
"2453","Crotalaria"
"2454","Entada-type"
"2455","Funtumia"
"2456","Hypoestes type"
"2457","Leea"
"2458","Millettia"
"2459","Parinari"
"2460","Rubiaceae undifferentiated"
"2461","Sapotaceae/Meliaceae"
"2462","Spermacoce"
"2463","Stereospermum"
"2464","Spores, trilete"
"2465","Spores, monolete"
"2466","Gramineae 25 µm"
"2467","Mimosa-type"
"2468","Vernonia-type"
"2469","Psydrax-type subcordata"
"2471","fresh water algae"
"2477","Quercus robur/Q. cerris"
"2478","Saxifraga exarata-type"
"2479","Fraxinus angustifolia subsp. oxycarpa-type"
"2480","Ranunculus parviflorus-type"
"2481","Periploca"
"2482","Psoraleeae"
"2483","Galanthus"
"2484","Atropa"
"2485","Scrophularia/Verbascum/Digitalis"
"2486","Punica"
"2487","Tofieldia"
"2488","cf. Atraphaxis"
"2489","Micranthes nivalis-type"
"2490","Saxifraga rosacea"
"2491","cf. Myricaria"
"2492","cf. Orobanche"
"2493","Biscutella"
"2494","Dioscorea communis"
"2495","cf. Genista"
"2496","Dorycnium hirsutum"
"2497","cf. Veronica"
"2498","Monactinus simplex"
"2499","Monactinus simplex (type clathratum)"
"2500","Gypsophila-type"
"2501","Psammogeton-type"
"2502","Delphinium"
"2503","cf. Medicago minima"
"2504","Echinophora-type"
"2505","cf. Prunus-type"
"2506","cf. Cerastium glomeratum"
"2507","Muscari"
"2508","cf. Bunium rectangulum"
"2509","Centaurea/Xeranthemum"
"2510","cf. Falcaria"
"2511","cf. Levisticum"
"2512","Callipeltis microstegia-type"
"2513","cf. Euphorbiaceae"
"2514","Lecokia"
"2515","Trachyspermum-type"
"2516","Gagea-type"
"2517","Serratula"
"2518","Vaccaria/Petrorhagia"
"2519","cf. Smyrniopsis"
"2520","Selaginella selaginoides"
"2521","cf. Gentianaceae"
"2522","Pseudopediastrum kawraiskyi"
"2523","cf. Silene albescens"
"2524","Medicago-type"
"2525","Eremurus"
"2526","cf. Silene ampullata"
"2527","cf. Chionodoxa"
"2528","Azolla/Salvinia"
"2529","cf. Anthericum"
"2530","Acroptilon"
"2531","cf. Gratiola"
"2532","Lithospermum-type"
"2533","Iris pseudacorus"
"2534","Primula elatior-type"
"2535","Pseudopediastrum brevicorne"
"2536","Artemisia vulgaris"
"2537","Atractylis cancellata"
"2538","Scleranthus-type"
"2539","Centaurea undiff."
"2540","Cornus mas/C. sanguinea"
"2541","Pediastrum longicorne"
"2542","Cotoneaster-type"
"2543","Castenea"
"2544","Echiochilon"
"2545","Gymnocarpos"
"2546","Gymnosporia"
"2547","Isoetes"
"2548","Monechma"
"2549","Polycnemum-type"
"2550","Argania"
"2551","Caylusea"
"2552","Gisekia"
"2553","Molluginaceae"
"2554","Plantago spp."
"2555","Corbiconia"
"2556","Sterculiaceae"
"2557","Manilkara"
"2558","Bombacaceae"
"2559","Strychnos"
"2560","Simirestis"
"2561","Acacia/Parkia"
"2562","Acioa"
"2563","Ambrosia-type"
"2564","Canthium"
"2565","Celtis (Africa)"
"2566","Crossopteryx"
"2567","Drypetes molunduana"
"2568","Fern spores"
"2569","Indeterminata/Varia"
"2570","Monolete spores"
"2571","Mussaenda"
"2572","Ptychopetalum"
"2573","Rubiaceae monade"
"2574","Trilete spores"
"2575","Liliaceae (Africa)"
"2576","Cyperaceae (Africa)"
"2577","Ambrosia-type (Africa)"
"2578","Gramineae (Africa)"
"2579","Euphorbia (Africa)"
"2580","Oleaceae (Africa)"
"2581","Tamarix (Africa)"
"2582","Justicia/Monechma"
"2583","Isoberlinia-type"
"2584","Centaurea perrottettii-type"
"2585","Bignoniaceae"
"2586","Jatropha"
"2587","Tarenna"
"2588","indeterminata/varia"
"2589","monolete spores"
"2590","trilete spores"
"2592","Anthocera"
"2593","Ephedra distachia-type"
"2594","Portulacaceae"
"2595","Antidesma-type"
"2596","Phyllirea"
"2597","Pilea"
"2598","Butyrospermum"
"2599","Ligustrum-type"
"2601","Picconia"
"2603","Sanguis minor"
"2604","Gypsophilla"
"2605","Gymnocarpus"
"2606","Mollugo"
"2607","Haloragaceae"
"2608","Oenothera"
"2609","Limoniastrum"
"2610","Ballotus"
"2611","Warionia"
"2612","Encephalartos"
"2613","Lythraceae"
"2614","Terminalia"
"2615","Xyridaceae"
"2616","Rhizophora mangle"
"2617","Gaertnera"
"2619","Plantago (Africa)"
"2620","Urticaceae (Africa)"
"2621","Trilete psilate spores"
"2622","Caryophyllac./Chenopodiac./Amaranthac."
"2623","Ochna"
"2624","Rhamnaceae (Africa)"
"2625","Myrica (Africa)"
"2626","Rhus (Africa)"
"2627","Thymelaeaceae (Africa)"
"2628","Solanum (Africa)"
"2629","Juniperus (Africa)"
"2631","Sapium-type"
"2632","Sebaea"
"2633","Loranthaceae (Africa)"
"2634","Rotala"
"2635","Erica (Africa)"
"2636","Rubiaceae (Africa)"
"2637","Salvadora/Dobera"
"2638","Bombax/Ceiba"
"2639","Aneilema"
"2640","Trichilia-type"
"2641","Zygophyllum/Peganum"
"2642","Boswellia"
"2643","Aeschynomene-type"
"2644","Baphia-type"
"2645","Nauclea latifolia-type"
"2646","Bosquiea"
"2647","Manilkara-type"
"2648","Xylia/Mimosa"
"2649","Limoniastrum/Limonium"
"2650","Triumfetta"
"2651","Polynogum acuminatum"
"2652","Eugenia/Syzygium"
"2653","Antrocaryon-type"
"2654","Connaraceae"
"2655","Entada sclerata"
"2656","Abelia"
"2657","Iodes"
"2659","Carpinus oient./Ostrya"
"2660","Quercus deciduous"
"2661","Quercus ilex type"
"2662","Cadaba-type glandulosa"
"2663","Cadia purpurea-type - Fabaceae"
"2664","Ficus - Moraceae"
"2665","Hyphaene-type"
"2666","Myrica humilis-type"
"2667","Salvadora persica-type"
"2668","Poaceae undiff. (> 40 micron)"
"2669","Panicum-type"
"2670","Aerva-type"
"2671","Ambrosia-type maritima"
"2672","Cichoriae undiff."
"2673","Asteraceae indiff."
"2674","Caryophyllaceae indiff."
"2675","Celosia-type trygina"
"2676","Cornulaca monacantha-type"
"2677","Chenop./Amaranth. undiff."
"2678","Dialium type - Caesalpiniaceae"
"2679","Commicarpus-type"
"2680","Liliaceae (incl. Gloriosa type e Allium t.)"
"2681","Fabaceae (Crotalaria)"
"2682","Fabaceae (cf. Ormocarpum)"
"2683","Fabaceae (Indigofera)"
"2684","Fabaceae indiff."
"2685","Pancratium-type (Amaryllidaceae)"
"2686","Polycarpea-type"
"2687","Sideritis type"
"2688","Urticaceae (Laportea-type)"
"2689","Callitriche (Halorrhagaceaea)"
"2690","Hydrocharitaceae (Otterlia cf.)"
"2691","Typha domingensis-type"
"2692","Not determinable"
"2693","Pteridophyta"
"2695","Alnus cf. glutinosa"
"2696","Myrica humilis-type [salicifolia]"
"2697","Asclepiadaceae undiff."
"2698","Borassus-type aethiopum"
"2699","Ongokea gore"
"2700","Dialium type"
"2701","Caesalpiniaceae (Paramacrolobium cf.)"
"2702","Poaceae undiff. (> 50 micron)"
"2703","Phragmites"
"2704","Cleome-type brachycarpa"
"2705","Cornulaca-type"
"2706","Mentha type"
"2707","Leonotis-type"
"2708","Ocimum-type"
"2709","Daucus cf."
"2710","Torilis cf."
"2711","Plantago afra-type"
"2712","Heliothopium"
"2713","Trichodesma africanum-type"
"2714","Melastomataceae"
"2715","Cressa-type cretica"
"2716","Crotalaria-type"
"2717","Laportea-type"
"2718","Commelina-type"
"2719","Crassula-type"
"2720","Nymphaea cf."
"2721","Hydrocharitaceae undiff."
"2722","Trilete"
"2723","Monolete"
"2724","Cedrus (broken)"
"2725","Pinaceae (broken)"
"2726","Amaranthaceae (crumpled)"
"2727","Poaceae (broken)"
"2728","Poaceae (Cerealia-type, broken)"
"2729","Cyperaceae (crumpled)"
"2730","Indeterminable (broken)"
"2731","Pinaceae (crumpled)"
"2732","Unknown (type 610)"
"2733","Pinus (degraded)"
"2734","Indeterminable (crumpled)"
"2735","Pinus (corroded)"
"2736","Pinus (crumpled)"
"2737","Pinus (fragmented)"
"2738","Pinus (broken)"
"2739","Pseudopediastrum boryanum-type"
"2740","Pediastrum simplex-type"
"2741","Pediastrum clathratum-type"
"2742","Unknown (type 130)"
"2743","Cyperaceae (corroded)"
"2744","Indeterminable (corroded)"
"2745","Pinaceae (degraded)"
"2746","Algae? (type 128A, HdV)"
"2747","Ceratophyllum"
"2748","Humulus/Cannabis-type"
"2749","Typha latifolia (broken)"
"2750","Thelypteris phegopteris-type"
"2751","Cyperaceae (broken)"
"2752","Indeterminable (obscured)"
"2753","Unknown (type 207)"
"2754","Cedrus (crumpled)"
"2755","Cornaceae-type"
"2756","Algae? (type 128B, HdV)"
"2757","Salix-type"
"2758","Poaceae (degraded)"
"2759","Unknown (type 165)"
"2760","Sparganium (broken)"
"2761","Ostrya/Corylus-type"
"2762","Oleaceae (broken)"
"2763","Quercus undiff. (broken)"
"2764","Quercus coccifera-type (broken)"
"2765","Poaceae (corroded)"
"2766","Quercus undiff. (obscured)"
"2767","Asteraceae undiff. (broken)"
"2768","Quercus undiff. (crumpled)"
"2769","Poaceae (Cerealia-type, crumpled)"
"2770","Epilobium-type"
"2771","Pinaceae (corroded)"
"2772","Cyperaceae (degraded)"
"2773","Cystopteris fragilis-type"
"2774","Gelasinospora-type"
"2775","Poaceae (crumpled)"
"2776","Oleaceae (crumpled)"
"2777","Asteraceae undiff. (crumpled)"
"2778","Oleaceae (obscured)"
"2779","Thymus-type"
"2780","Quercus coccifera-type (crumpled)"
"2781","Amaranthaceae (broken)"
"2782","Poaceae (Cerealia-type, corroded)"
"2783","Sparganium (degraded)"
"2784","Cedrus (degraded)"
"2785","Calystegia-type"
"2786","Pinaceae (obscured)"
"2787","Quercus undiff. (degraded)"
"2788","Sparganium (crumpled)"
"2789","Polygonum-type"
"2790","Quercus undiff. (corroded)"
"2791","Typha latifolia (crumpled)"
"2792","Quercus coccifera-type: corroded"
"2793","Asplenium fontanum-type"
"2794","Anthyllis-type"
"2795","Scandix"
"2796","Lepidium"
"2797","Coronilla"
"2798","Satureja/Ziziphora"
"2799","Hypericum coris-type"
"2800","Amaranthaceae (degraded)"
"2801","Mougeotia-type"
"2802","Typha latifolia (degraded)"
"2803","Thalictrum-type"
"2804","Corylus-type"
"2805","Anthericum"
"2806","Saxifraga tridactylitis-type"
"2807","Trachycarpus fortunei"
"2808","Reseda-type"
"2810","Chaerophyllum-type"
"2811","Phragmites australis"
"2812","Lithospermum officinale"
"2813","Ligusticum mutellina"
"2814","Helleborus viridis"
"2815","Asphodelus fistulosus"
"2816","Rumex scutatus-type"
"2817","Scorzonera humilis-type"
"2818","Dorycnium"
"2819","Silene viscaria-type"
"2820","Verbena officinalis"
"2821","Colchicum-type"
"2822","Agrimonia-type"
"2823","Trollius europaeus"
"2824","Fedia cornucopiae"
"2825","Tilletia sphagni"
"2826","Petasites"
"2827","Ranunculus lingua-type"
"2828","Anthriscus sylvestris-type"
"2829","Rosa"
"2830","Ailanthus"
"2831","Lemnoideae"
"2832","Cyclamen hederifolium"
"2833","Foeniculum-type"
"2834","Dianthus superbus-type"
"2835","Linum catharticum-type"
"2836","Pseudopediastrum boryanum var. boryanum sensu lato"
"2837","Scandix pecten-veneris-type"
"2838","Lythrum portula"
"2839","Loranthus europaeus"
"2840","Consolida-type"
"2841","Dryopteris dilatata-type"
"2843","Robinia pseudoacacia"
"2845","Minuartia rubra-type"
"2846","Pseudopediastrum boryanum var. longicorne"
"2847","Orlaya grandiflora"
"2848","Moehringia-type"
"2849","Tordylium maximum"
"2850","Androsace"
"2851","Acacia spp."
"2852","A. albida"
"2853","Bombax sp."
"2854","Chenopod/Amaranthaceae"
"2855","Borreria sp."
"2856","Orchidaceae"
"2857","Gossypium"
"2858","Hymenophyllum"
"2859","Hystrix"
"2860","Mesembryanthemum"
"2863","Asteraceae Asteroideae type (Aster-like)"
"2864","Chenopodiaceae other"
"2865","Dipsacaceae"
"2866","Ephedra fragilis type"
"2867","Asclepiadacees"
"2868","Caryophyllees"
"2869","Celtis cf. australis"
"2870","Cereales"
"2871","Cupressacees"
"2872","Juncacees"
"2873","Malva ?"
"2874","Olea sp."
"2875","Tamarix cf. gallica"
"2876","Zizyphus sp."
"2877","Ambrosiinae"
"2878","Hildebrandtia"
"2879","Senecioneae"
"2880","Josephinia"
"2881","Triletes (scabrate)"
"2882","Urticaceae/Moraceae"
"2883","Triletes (smooth)"
"2884","Hippocratea"
"2885","Faboideae"
"2886","Plectranthus"
"2887","Aizoaceae (large)"
"2888","Aizoaceae (small)"
"2889","Kleinia"
"2890","Holoptelea"
"2891","Anthericum-type"
"2892","Asphodelus fistulosus-type"
"2893","Calligonum/Pteropyrum"
"2894","Malcolmia"
"2895","Cichorium"
"2896","Alnus sp."
"2897","Daphne cf. gnidium"
"2898","Fraxinus sp."
"2899","Nympheacees"
"2900","Ombelliferes"
"2901","Quercus iles"
"2903","Cf. Cupressus"
"2904","Quercus cf. ilex"
"2905","Chenopodiacees autres"
"2906","Composees autres"
"2907","Cyperacees"
"2908","Plantaginacees"
"2909","cf. Zygophyllacees"
"2910","Smilax"
"2911","Pinus halepensis-type"
"2912","Carduoideae"
"2915","Trees"
"2918","Anacardiaceae undiff."
"2919","Cheno-Amaranthaceae"
"2920","Capparaceae undiff."
"2921","Zilla cf."
"2922","Cupressus type"
"2923","Other woody plants"
"2924","Panicum type"
"2925","> 40 micron"
"2926","Other herb plants"
"2927","Concentration (p/g)"
"2928","Ericales"
"2929","Nymphoides"
"2930","Ranunculus circinatus"
"2931","Pediastrum divergens"
"2933","Saxifraga rotundifolia"
"2934","Myosotis"
"2935","Stratiotes"
"2936","Acorus calamus"
"2937","Rumex patientia var. kurdicus"
"2938","Alkanna"
"2939","Pediastrum boryanum var. granulatum"
"2940","Cyperus longus-type"
"2941","Gentiana cf. G. pneumonanthe"
"2942","Pediastrum boryanum var. divergens"
"2943","Pediastrum undiff."
"2944","Pediastrum undulatum"
"2945","Pteridium undiff."
"2946","Pediastrum muticum var. scutum"
"2947","Parrotia"
"2948","Allophyllus"
"2949","Ampelidaceae undiff."
"2950","Asteraceae (Asteroideae)"
"2951","Asteraceae (Lactuceae)"
"2952","Capparidaceae undiff."
"2953","Cissampelos cf. mucronata"
"2954","Elaeis guineenis"
"2955","Indeterminate"
"2956","Irvingiaceae"
"2957","Khaya"
"2958","Menispermaceae undiff."
"2959","Mitracarpus scaber"
"2960","Mitragyna"
"2961","Nymphaeaceae"
"2962","Phyllanthus cf. reticulatus"
"2963","Phyllanthus undiff."
"2964","Polygonum cf. senegalense"
"2965","Portulaceae"
"2966","Acalypha cf. crenata"
"2967","Adenia"
"2968","Albizzia"
"2969","Gynandropsis"
"2970","Hyphaene/Borassus"
"2971","Ludwigia"
"2972","Olea hochstetteri"
"2973","Periplocaceae"
"2974","Cissampelos mucronata-type"
"2975","Acacia gummiferae"
"2976","Acacia raddiana"
"2977","Alchornea cordifolia"
"2978","Bauhinia"
"2979","Borreria radiata"
"2980","Cadaba farinosa"
"2981","Caperonia"
"2982","Capparis decidua"
"2983","Cleome cf. arabica"
"2984","Cleome cf. chrysantha"
"2985","Combretum paniculatum"
"2986","Crozophora"
"2987","Diospyros mespiliformis"
"2988","Eugenia"
"2989","Hymenocardia acida"
"2990","Hyphaene thebaÃ¯ca"
"2992","Maerua crassifolia"
"2993","Olea laperrini"
"2994","Peristrophe bicalyculata"
"2995","Polycapaea"
"2996","Sesbania pachycarpa"
"2997","Juniperus oxycedrus"
"2998","Callitris (quadrivalvis)"
"2999","Cerus atlantica"
"3000","Ephedra tilhoana"
"3001","Quercus cf. ilex ou coccifera"
"3002","Olea europea"
"3003","Artemisia tilhoana"
"3004","Myrtus nivellei"
"3005","Ficus sp."
"3006","Salsolacees - Chenopodiacees"
"3007","Scrofulariacees"
"3008","Rubiacees"
"3009","Polygonacees"
"3010","Narthecium-type"
"3011","cf. Prosopis"
"3012","cf. Equisetum"
"3013","Araceae"
"3014","Hydrocotyle-type"
"3015","Orobanche"
"3017","Persicaria maculosa"
"3018","Poaceae (Cerealia-type) undiff."
"3019","Trilete (verrucate)"
"3020","Phaeoceros"
"3021","Cornus-type"
"3022","Pediastrum simplex"
"3023","Panicum"
"3024","Staphylea"
"3025","Myriophyllum spicatum-type"
"3026","Asphodelus luteus"
"3027","Micranthes stellaris"
"3028","Borreria cf. B. verticillata"
"3030","Alchornea sp."
"3031","Syzygium sp."
"3032","Sesbania rostrata"
"3033","Capparacees (cf. Boscia)"
"3034","Arecacees"
"3035","Legumineuses (cf. Indigofera)"
"3036","Cf. Ximenia"
"3037","Rhizophora aff. R. Racemosa"
"3038","Rhizophora aff. R. harrisonii"
"3039","Spores monoletes"
"3040","Spres triletes"
"3041","Indeterminables (pollens)"
"3042","Rubus fruticosus"
"3043","Betulaceae"
"3044","Pseudopediastrum integrum"
"3045","Polygonum sensu lato undiff."
"3046","Arabidopsis-type"
"3047","Sinapis-type"
"3048","Silene dioica"
"3049","Cistus incanus-type"
"3050","Phyteuma-type"
"3052","Cannabis-type"
"3053","Indeterminable (destroyed)"
"3055","Fumana-type"
"3056","Cucumis-type"
"3057","Linum-type"
"3058","Hypericum-type"
"3059","Scabiosa-type"
"3060","Styrax-type"
"3061","Elatine-type"
"3062","Cistus/Helianthemum"
"3063","Roemeria hybrida-type"
"3064","cf. Cirsium"
"3065","cf. Rhamnaceae"
"3066","cf. Primulaceae"
"3067","cf. Scrophulariaceae"
"3068","cf. Solanaceae"
"3069","cf. Cannabaceae"
"3070","Consolida"
"3071","cf. Hottonia"
"3072","cf. Liliaceae"
"3073","cf. Urtica"
"3075","Combretum cf. paniculatum"
"3076","Pentodon pentadrus"
"3077","Phyla nodifolia"
"3078","Sesbania cf. sesban"
"3079","Syzygium guineensis"
"3080","Trollius"
"3081","Marsilea"
"3082","Inula"
"3083","Osmanthus"
"3084","Spiraea"
"3085","Burkea"
"3086","Cf Zornia"
"3087","Hydrocharitaceae"
"3088","Lactuceae"
"3089","Copepod Eggs"
"3090","Foraminifera undiff."
"3091","Quercus decidua"
"3092","Tamarindus-type"
"3093","Limonium axillare"
"3094","Acacia Groupe 3"
"3095","Arthrocnemum glaucum-type"
"3096","Pulicaria-type"
"3097","Flaveria-type"
"3098","Gnidia"
"3099","Papilionoidae undiff."
"3100","Amaranthaceae/Chenopodiaceae undiff."
"3101","Conyza-type"
"3102","Plantago amplexicaulis-type"
"3103","Plantago ciliata"
"3104","Justicia caerulea-type"
"3105","Vernonia perrottetii-type"
"3106","Achyranthes"
"3107","Aerva/Cornulaca"
"3108","Anethum-type"
"3109","Calendula-type"
"3110","Chrozophora verbascifolia"
"3111","Cressa-type"
"3112","Dipterygium glaucum"
"3113","Euphorbia prostrata-type"
"3114","Sclerocephalus"
"3115","Dinoflagellate undiff."
"3116","Ferns monolete"
"3117","Ferns trilete"
"3118","cf. Adenocarpus"
"3119","Morella faya"
"3120","Poaceae (>47 Âµm)"
"3121","Ranunculus acris-type cf. R. sardous"
"3122","Pinus canariensis"
"3123","Sordariaceae"
"3124","Poaceae (<47 Âµm)"
"3125","Erica/Arbutus"
"3126","Unknown (hexagonal mesh)"
"3127","Unknown (long spines)"
"3128","Ranunculaceae undiff."
"3129","Sanguisorbineae"
"3130","cf. Typhaceae/Potamogetonaceae"
"3131","cf. Aeonium"
"3132","cf. Linum"
"3133","Chaetomium"
"3134","Coniochaeta"
"3135","Rhytidospora cf. R. tetraspora (type 171, HdV)"
"3136","Hippocrepis"
"3137","Colutea"
"3138","Actaea"
