Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Hyphaene t.,Arecaceae,Borassus,Hyphaene,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,Bezeng BS,bezengsimmy@gmail.com,,,,,9,,,,,abiotic,,,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Hypoestes t.,Acanthaceae,Hypoestes,Hypoestes,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Shrub_Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Icacinaceae,Icacinaceae,Icacinaceae,Icacinaceae,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Bezeng BS; Engemann, K",moanand@gmail.com; bezengsimmy@gmail.com; engemann@bios.au.dk,0.973275862,,,,9,,,,,biotic,,Liana,Hermaphrodite,biotic,,,,
Ilex,Aquifoliaceae,Ilex,Ilex,http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Marx HE; Angela Moles; Ingolf Kuhn; Dana Royer; Price CA; Zanne AE; Engemann, K",h.marx.h@gmail.com; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; droyer@wesleyan.edu; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,7.318084846,15.44926888,1135.009101,118,5,,0.106666667,6,15.30887904,,evergreen,Tree,,,9.40E-05,Plant Traits from Fynbos Forests in the Cape Region,broad-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Impatiens,Balsaminaceae,Impatiens,Impatiens,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; engemann@bios.au.dk,0.706818182,7.406,6963.8,0.78,6.833333333,,0.080766522,,,,,Herb,,,1.16E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Indeterminable,Indeterminable,Indeterminable,Indeterminable,,,,,,,,,,,,,,,,,,,,,
Indigofera,Fabaceae-Faboideae,Indigofera,Indigofera,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,3.856347826,,,11,,,,,biotic,evergreen,Tree_Shrub,Hermaphrodite,biotic,,Plant Traits from Fynbos Forests in the Cape Region,broad-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Ipomoea,Convolvulaceae,Ipomoea,Ipomoea,http://www.kew.org/data/sid ; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; Steven Travers; J. Fang; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; a.moles@unsw.edu.au; steven.travers@ndsu.edu; jyfang@urban.pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.080097087,45.78301587,,100,5.6875,,,,38.95,biotic,deciduous,Herb,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Irvingia,Irvingiaceae,Irvingia,Irvingia,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Zanne AE; Engemann, K",fritz.kln@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,4,,,,,,,,,,evergreen,Tree,,,,,,
Isoberlinia,Fabaceae-Caesalpinoideae,Isoberlinia,Isoberlinia,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,deciduous,Tree,,,,,,
Ixora,Rubiaceae,Ixora,Ixora,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://www.kew.org/data/sid ; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.j2r53; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Nathan Kraft; Bezeng BS; Uma√±a MN; Zanne AE; Engemann, K",moanand@gmail.com; sid@kew.org ; nkraft@biodiversity.ubc.ca; bezengsimmy@gmail.com; maumana@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,5.109817722,60.01169767,7316.666667,,5,,,,20.11898252,biotic,evergreen,Tree_Shrub,Hermaphrodite,biotic,,Global Dataset of Maximum Rooting Depth,broad-leaved,"Fan Y, Gonzalo Miguez-Macho, Esteban G. Jobb·gy, Robert B. Jackson, Carlos Otero-Casal (2017) Hydrologic regulation of plant rooting depth. Proceedings of the National Academy of Sciences 114 (40) 10572-10577; DOI: 10.1073/pnas.1712381114"
Jacquemontia t.,Convolvulaceae,Jacquemontia,Jacquemontia,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,6.257777778,,,,,,,,,,Herb_Liana_Vine,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Jasminum,Oleaceae,Jasminum,Jasminum,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.dr275.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; de la Riva EG; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; enga70@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,94.98,83,,8.5,,,,19.1,abiotic,evergreen,Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Jatropha/Croton,Euphorbiaceae,Croton,Jatropha; Croton,http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.6p9v5; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Letcher SG; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K; Susan Letcher; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Bezeng BS; Bhaskar R; Zanne AE; Engemann, K",susan.letcher@purchase.edu; sid@kew.org ; bezengsimmy@gmail.com; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk; SUSAN.LETCHER@purchase.edu; sid@kew.org ; droyer@wesleyan.edu; bezengsimmy@gmail.com; radika@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,8; 4.95010562770563,260.17125; 40.5848428571429,6880,,10; 10,,,,30.758914945; 32.6128744733333,biotic; abiotic,evergreen; evergreen,Herb; Shrub,Hermaphrodite; Hermaphrodite,biotic; biotic,,TRY Categorical Traits Dataset (update 2018); Categorical Plant Traits Database,broad-leaved; broad-leaved,unpub.; unpub.
Juglans,Juglandaceae,Juglandaceae,Juglans,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Dana Royer; Price CA; Zanne AE; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,17.05434051,10216.68712,3147.104111,162.5,5.243243243,,0.15,5,25.49857143,,deciduous,Tree,,,4.77E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Juncaceae,Juncaceae,Juncaceae,Juncaceae,http://datadryad.org/resource/doi:10.5061/dryad.p3057; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Dost√°l P; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Marx HE; Ingolf Kuhn; Michael Kleyer; Price CA; Engemann, K",petr.dostal@ibot.cas.cz; sid@kew.org ; h.marx.h@gmail.com; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; engemann@bios.au.dk,0.287645665,0.173792879,998.9913939,,5.882352941,,0.109870804,3.6,18.58646143,,,Herb,,,0.000109982,,,
Juncaginaceae,Juncaginaceae,Triglochin,Juncaginaceae,http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; doi: 10.1111/j.1469-8137.2005.01530.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Marx HE; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Michael Kleyer; J. Fang; Engemann, K",h.marx.h@gmail.com; sid@kew.org ; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; jyfang@urban.pku.edu.cn; engemann@bios.au.dk,0.36,0.719561737,317.871884,,5.857142857,,0.039595279,,31.36,,,Herb,,,0.000124564,,,
Justicia t.,Acanthaceae,Justicia,Justicia,http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bufford JL; Nathan Kraft; Bezeng BS; Engemann, K",jbufford@hawaii.edu; nkraft@biodiversity.ubc.ca; bezengsimmy@gmail.com; engemann@bios.au.dk,,8.922,7614,,7,,,,36.4,biotic,,Shrub_Herb,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Kedrostis,Curcurbitaceae,Kecrostis,Kedrostis,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,,,
Keetia,Rubiaceae,Keetia,Keetia,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,Bezeng BS,bezengsimmy@gmail.com,,,,,4,,,,,biotic,,,Hermaphrodite,biotic,,,,
Kigelia,Bignoniaceae,Kigelia,Kigelia,http://datadryad.org/resource/doi:10.5061/dryad.b1v2c; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bufford JL; Bezeng BS; Zanne AE; Engemann, K",jbufford@hawaii.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,63.69045455,,,8,,,,,biotic,deciduous,Tree,Hermaphrodite,biotic,,,,
Klaineanthus,Euphorbiaceae,Klaineanthus,Klaineanthus,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Tree,,,,,,
Kohautia,Rubiaceae,Kohautia,Kohautia,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,,,
Lamiaceae undif.,Lamiaceae,Ballota,Lamiaceae,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.dp24m; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Tim Killeen; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Liu Y; Angela Moles; Steven Travers; Michael Kleyer; Price CA; Maire V; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; yanjie.liu@uni-konstanz.de; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.508769564,25.40650735,3958.065441,22.6,6.348684211,,0.362660665,6.95,23.3774726,biotic,evergreen,Herb,Hermaphrodite,biotic,9.16E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Landolphia,Apocynaceae,Landolphia,Landolphia,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,Bezeng BS,bezengsimmy@gmail.com,,,,,,,,,,,,,Hermaphrodite,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Lannea,Anacardiaceae,Lannea,Lannea,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.v240b; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Wigley BJ; Bezeng BS; J. Fang; Zanne AE; Engemann, K",fritz.kln@gmail.com; benwigley@gmail.com; bezengsimmy@gmail.com; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,4.833333333,,7150.5,,10,,,,18.5525,abiotic,deciduous,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Laportea,Urticaceae,Laportea,Laportea,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Engemann, K",sid@kew.org ; steven.travers@ndsu.edu; engemann@bios.au.dk,0.9,2.44,,,7,,,,,,,Herb,,,,,,
Larix,Pinaceae,Larix,Larix,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Price CA; Maire V; Zanne AE; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; charles.price@uwa.edu.au; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,17.90660722,18.07675671,20.24,483.75,,,,6,19.35571429,,deciduous,Tree,,,,"Reich-Oleksyn Global Leaf N, P Database",coniferous,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212."
Lauraceae,Lauraceae,Laurus,Lauraceae,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"S.E. Russo; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Angela Moles; K.S. Murali; Price CA; Balzotti CS; Bezeng BS; Zanne AE; Engemann, K",srusso2@unl.edu; sid@kew.org ; droyer@wesleyan.edu; a.moles@unsw.edu.au; charles.price@uwa.edu.au; cbalzotti@carnegiescience.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,10.84496018,1244.487873,15608.08931,208.2857143,9.8,,2.198554795,25.19090909,20.41912357,abiotic,evergreen,Tree,Dioecious,biotic,0.00014086,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Lavatera,Malvaceae-Malvoideae,Lavatera,Lavatera,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Ingolf Kuhn; Maire V; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ingolf.kuehn@ufz.de; vmaire@gmail.com; engemann@bios.au.dk,0.877083333,14.89276923,,,7,,,,50.4,,,Shrub,,,,,,
Lawsonia,Lythraceae,Lawsonia,Lawsonia,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Engemann, K",engemann@bios.au.dk,4.3688,,,,,,,,,,,Shrub,,,,,,
Lemnaceae,Lemnaceae,Lemna,Lemnaceae,,,,,,,,,,,,,,,,,,,,,
Leontice,Berberidaceae,Leontice,Leontice,,,,,,,,,,,,,,,,,,,,,
Lepidagathis,Acanthaceae,Lepidagathis,Lepidagathis,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Shrub_Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Lepisanthes,Sapindaceae,Aphania,Lepisanthes,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,Osuri AM; Bezeng BS; Zanne AE,moanand@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com,9.357142857,,,,7,,,,,biotic,evergreen,,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Lepistemon,Convolvulaceae,Lepistemon,Lepistemon,,,,,,,,,,,,,,,,,,,,,
Leptaulus,Cardiopteridaceae,Leptaulus,Leptaulus,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Zanne AE; Engemann, K",aezanne@gmail.com; engemann@bios.au.dk,,,,,,,,,,,evergreen,Tree,,,,,,
Leucaena,Fabaceae-Mimosoideae,Leucaena,Leucaena,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.6p9v5; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Bhaskar R; Zanne AE; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; radika@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,5.17075976,43.58120256,,,9,,,,35.5375,biotic,evergreen,Shrub_Tree,Hermaphrodite,biotic,,,,
Ligustrum,Oleaceae,Ligustrum,Ligustrum,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://dx.doi.org/10.1016/j.ppees.2009.03.001; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; T.A. Easdale; K. Thompson; Bezeng BS; Zanne AE; Engemann, K",charles.price@uwa.edu.au; easdalet@landcareresearch.co.nz; ken.thompson@sheffield.ac.uk; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,5.7564,700.1527277,626.9,,9.333333333,,,,16,biotic,deciduous,Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Linum t.,Linaceae,Linum,Linum,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.b5tr9; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steendam; Steven Travers; Michael Kleyer; Fu B; Engemann, K",sid@kew.org ; R.m.bekker@rug.nl; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; bfu@rcees.ac.cn; engemann@bios.au.dk,0.329444444,1.924771188,29.40102611,,,5.85,0.001258761,,32.966375,,,Herb,,,4.28E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Liquidambar,Hammamelidaceae,Liquidambar,Liquidambar,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Angela Moles; Bezeng BS; Price CA; J. Fang; Zanne AE; Engemann, K",sid@kew.org ; droyer@wesleyan.edu; a.moles@unsw.edu.au; bezengsimmy@gmail.com; charles.price@uwa.edu.au; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,14.62986559,4.471846,3776.590909,179.5,8,,0.309047619,7.2,16.38709677,biotic,deciduous,Tree,Hermaphrodite,biotic,8.18E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Littorella,Plantaginaceae,Littorella,Littorella,http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; K. Thompson; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; ken.thompson@sheffield.ac.uk; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.095,,98.41666667,,5,,0.006830559,,,,,Herb,,,6.94E-05,,,
Lobelia,Lobeliaceae,Lobelia,Lobelia,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Steven Travers; Michael Kleyer; Maire V; Engemann, K",sid@kew.org ; dkunzmann@gmx.de; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; vmaire@gmail.com; engemann@bios.au.dk,0.330555556,0.050607143,160.25,,,6.75,0.008728,,29.5,,,Herb,,,5.45E-05,Plant Traits from Fynbos Forests in the Cape Region,broad-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Lonicera,Caprifoliaceae,Lonicera,Lonicera,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; Michael Kleyer; Marx HE; Zanne AE; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; h.marx.h@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,2.417137255,12.33872533,2222.281709,,,5.116666667,0.0803164,6.7,20.38307692,,deciduous,Shrub,,,3.61E-05,Categorical Plant Traits Database,needled/broad-leaved,unpub.
