References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Dupont, L.M.; Beug, H.J. 1991 Marine palynological studies of NW Africa. Palaeoecology of Africa","Yang, S., Mao, L., Zheng, Z., Chen, B., & Li, J. (2020). Pollen atlas for selected subfamilies of Euphorbiaceae from Southern China: a complementary contribution to Quaternary pollen analysis. Palynology, 44(4), 659-673.","Öztürk, M., Çelik, A., Güvensen, A., & Hamzao?lu, E. (2008). Ecology of tertiary relict endemic Liquidambar orientalis Mill. forests. Forest Ecology and Management, 256(4), 510-518.","Marr, K. L., Allen, G. A., & Hebda, R. J. (2008). Refugia in the Cordilleran ice sheet of western North America: chloroplast DNA diversity in the Arctic–alpine plant Oxyria digyna. Journal of Biogeography, 35(7), 1323-1334.",
"Dupont, L.M.; Schefuß, E. 2018 The roles of fire in Holocene ecosystem changes of West Africa.Earth and Planetary Science Letters","Ybert, J. P. (1979). Atlas de pollens de Côte d'Ivoire (No. 40). IRD Editions.","Padgett, D. J. (2007). A monograph of nuphar (nymphaeaceae) 1. Rhodora, 109(937), 1-95.","Mathew, P., & Biju, S. D. (1991). Lepistemon verdcourtii, a new species of Convolvulaceae from India, with notes on L. binectariferum and L. leiocalyx. Kew bulletin, 559-562.",
"Eastwood, W.J., C.N. Roberts, H.F. Lamb, and J.C. Tibby. 1999. Holocene environmental change in southwest Turkey: a palaeoecological record of lake and catchment-related changes. Quaternary Sciences Reviews 18:671-695.","Yurtseva, O. V., Severova, E. E., & Bovina, I. Y. (2014). Pollen morphology and taxonomy of Atraphaxis (Polygoneae, Polygonaceae). Plant Systematics and Evolution, 300, 749-766.","Page, C. N. (1990). Cupressaceae. In Pteridophytes and Gymnosperms (pp. 302-316). Berlin, Heidelberg: Springer Berlin Heidelberg.","Mati?, S., Stani?, S., Mihailovi?, M., & Bogojevi?, D. (2016). Cotinus coggygria Scop.: An overview of its chemical constituents, pharmacological and toxicological potential. Saudi Journal of Biological Sciences, 23(4), 452-461.",
"Eggenberger, S., E. Gobet, J.F.N. van Leeuwen, C. Schwörer, W.O. van der Knaap, H.F. van Dobben, H. Vogel, W. Tinner, and C.M.C. Rambeau. 2018. Millenial multy-proxy reconstruction of oasis dynamics in Jordan, by the Dead Sea. Vegetation History and Archaeobotany 27:649-664. [DOI: 10.1007/s00334-017-0663-6]",,"Parker, V. T., Rodriguez, C. Y., Wechsler, G., & Vasey, M. C. (2020). Allopatry, hybridization, and reproductive isolation in Arctostaphylos. American Journal of Botany, 107(12), 1798-1814.","McCarthy, B. C., & Quinn, J. A. (1992). Fruit maturation patterns of Carya spp.(Juglandaceae): an intra-crown analysis of growth and reproduction. Oecologia, 91, 30-38.",
"El Ghazali, G.E.B. 1998 Modern lowland pollen spectra and contemporary vegetation in the eastern Sahel Vegetation Zone, Sudan. Review of Palaeobotany and Palynology. https://doi.org/10.1016%2Fs0034-6667%2897%2900042-0",,"Philbrick, C. T., & Les, D. H. (2000). Phylogenetic studies in Callitriche: implications for interpretation of ecological, karyological and pollination system evolution. Aquatic Botany, 68(2), 123-141.","Meerts, P., Rougelot, Q., & Sosef, M. (2017). Revision of the genus Monotes (Dipterocarpaceae) in DR Congo, with implications for Angola and its distinction from Marquesia. Phytotaxa, 308(2), 151-205.",
"El Hamouti, N., H.F. Lamb, J.C. Fontes, and F. Gasse. 1991. Changements hydroclimatiques abrupts dans le Moyen Atlas marocain depuis le dernier maximum glaciaire. Comptes-Rendus de l_Académie des Sciences, Paris 313(2):259-265.",,"Phillips, E. P. (1922). The Genus Bersama. Bothalia, 1(1), 33-38.","Mellano, M. G., Beccaro, G. L., Donno, D., et al. (2012). Castanea spp. biodiversity conservation: collection and characterization of the genetic diversity of an endangered species. Genetic Resources and Crop Evolution, 59, 1727–1741. https://doi.org/10.1007/s10722-012-9794-x",
"El-Moslimany, A.P. 1983 History of climate and vegetation in the Eastern Mediterranean and the Middle East from the Pleniglacial to the mid-Holocene. PhD Thesis University of Washington.",,"Pijut, P. M. (2008). Carpinus. Woody plant seed manual, Agriculture Handbook, 727, 328-332.","Milliken, W., Klitgaard, B., & Baracat, A. (Eds.). (2010). Neotropikey: Interactive key and information resources for flowering plants of the Neotropics. Retrieved from http://www.kew.org/science/tropamerica/neotropikey.htm",
"El-Moslimany, A.P. 1983 History of climate and vegetation in the Eastern Mediterranean and the Middle East from the Pleniglacial to the mid-Holocene. PhD Thesis, University of Washington.",,"Pope, G. V., Polhill, R. M., & Martins, E. S. (2006). Flora Zambesiaca (Vol. 9, Part 3). Polygonaceae-Myriaceae. Royal Botanic Gardens, Kew. ","Mogue Kamga, S., Brokamp, G., Cosiaux, A., et al. (2020). Use and cultural significance of Raphia palms. Economic Botany, 74, 207-225. https://doi.org/10.1007/s12231-020-09487-z",
"Engel, M., M. Knipping, H. Brückner, M. Kiderlen, and J.C. Kraft. 2009. Reconstructing middle to late Holocene palaeogeographies of the lower Messenian and sea level change. Palaeogeography, Palaeoclimatology, Palaeoecology 284:257-270.",,"Potter, D. (2011). Prunus. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg","Molnar, T.J. (2011). Corylus. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",
"England, A., W.J. Eastwood, C.N. Roberts, R. Turner, and J.F. Haldon. 2008. Historical landscape change in Cappadocia (central Turkey): a palaeoecological investigation of annually laminated sediments from Nar lake. The Holocene 18(8):1229-1245.",,"Pringle, J. S. (2014). Morphological characteristics of the family Gentianaceae. In The Gentianaceae-Volume 1: Characterization and Ecology (pp. 1-12). Berlin, Heidelberg: Springer Berlin Heidelberg.","Morales, R. (1998). Filipendula Mill. Flora iberica, 6.",
Erhard Schulz 1991 Holocene environments in the central Sahara. Hydrobiologia Vol. 214: 359–365,,"Puff, C. (2012). A biosystematic study of the African and Madagascan Rubiaceae-Anthospermeae (Vol. 3). Springer Science & Business Media.","Murrell, Z. E. (1993). Phylogenetic relationships in Cornus (cornaceae). Systematic Botany, 469-495.",
"Feakins, S.J.; Levin, N.E.; Liddy, H.M.; Sieracki, A.; Eglintin, T.I.; Bonnefille, R. 2013. Northeast African vegetation change over 12 m.y. Geology. https://doi.org/10.1130/G33845.1",,"Puff, C., Robbrecht, E., Buchner, R., & De Block, P. (1996). A survey of secondary pollen presentation. Opera Bot. Belg","Mwachala, G., & Mbugua, P. (2007). Dracaenaceae. Flora of Tropical East Africa.",
"Fellag, H. 2000. Observations sur la conservation pollinique dans le remplissage de quelques grottes et abris Paléolithiques du Sud-Ouest de la France et d_Algérie. Revue d_Archéométrie 24:71-83.",,"Qiao, D., Wang, J., Lu, M. H., Xin, C., Chai, Y., Jiang, Y., ... & Chen, Q. J. (2023). Optimized prime editing efficiently generates heritable mutations in maize. Journal of Integrative Plant Biology, 65(4), 900-906.","Nesom, G. L. (2010). Infrageneric classification of Verbena (Verbenaceae). Guy L. Nesom.",
"Feller, C., Médus, J., Paycheng, C., Chavane, B. 1981 Etude pédologique et palynologique d'un site protohistorique de la moyenne vallée du fleuve Sénégal. Palaeoecology of Africa Vol. 13. 235-248",,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","Nogueira, I., Ortiz, S., Paiva, J. A. R., & Pope, G. V. (2006). Polygonaceae. Flora Zambesiaca, 9(3), 1-49.",
"Fersi, W.; Bassinot, F.; Lézine, A.-M. 2016. Past productivity variations and organic carbon burial in the Gulf of Aden since the Last Glacial Maximum. Quaternaire. 213-22610.4000/quaternaire.7655",,"Ran, J. H., Wei, X. X., & Wang, X. Q. (2006). Molecular phylogeny and biogeography of Picea (Pinaceae): implications for phylogeographical studies using cytoplasmic haplotypes. Molecular Phylogenetics and Evolution, 41(2), 405-419.","Nooteboom, H. P. (1960). Simaroubaceae. Flora Malesiana-Series 1, Spermatophyta, 6(1), 193-226.",
"Fersi, W.; Lézine, A.-M.; Bassinot, F.2016. Hydro-climate changes over southwestern Arabia and the Horn of Africa during the last glacial–interglacial transition: A pollen record from the Gulf of Aden. Review of palaeobotany and palynology. 176-18510.1016/j.revpalbo.2016.04.002.",,"Ranjbar, M., & Khalvati, S. (2019). World checklist of Moltkia (Boraginaceae) with notes on types. Phytotaxa, 408(3), 143-160.","Norscia, I., & Borgognini-Tarli, S. M. (2006). Ethnobotanical reputation of plant species from two forests of Madagascar: A preliminary investigation. South African Journal of Botany, 72(4), 656-660.",
"Fletcher, W.J., and M.F. Sanchez-Goñi. 2008. Orbital- and sub-orbital-scale climate impacts on vegetation of the western Mediterranean basin over the last 48,000 yr. Quaternary Resaerch 70:451-464.",,"Richardson, D. M. (Ed.). (2000). Ecology and biogeography of Pinus. Cambridge University Press.","Obbard, D. J., Harris, S. A., Buggs, R. J., & Pannell, J. R. (2006). Hybridization, polyploidy, and the evolution of sexual systems in Mercurialis (Euphorbiaceae). Evolution, 60(9), 1801-1815.",
"Fletcher, W.J., C. Zielhofer, S. Mischke, C.L. Bryant, X. Xu, and D. Fink. 2017. AMS radiocarbon dating of pollen concentrates in a karstic lake system. Quaternary Geochronology 39:112-123.

",,"Richardson, I. B. K. (1975). A revision of the genus Centranthus DC.(Valerianaceae). Botanical Journal of the Linnean Society, 71(3), 211-234.","Oberprieler, C., Himmelreich, S., & Vogt, R. (2007). A new subtribal classification of the tribe Anthemideae (Compositae). Willdenowia, 37(1), 89-114.",
"Fletcher, W.J., M.F. Sanchez-Goñi, O. Peyron, and I. Dormoy. 2010. Abrupt climate changes of the last deglaciation detected in a western Mediterranean forest record. Climate of the Past 6:245-264.

",,"Robbrecht, E., De Block, P., & Van Hecke, P. (1991). Incomplete rheophytic speciation in Pouchetia (African Rubiaceae—Hypobathreae). Belgian Journal of Botany, 137-151.","Olesen, J. M., & Ehlers, B. K. (2001). Age determination of individuals of Corydalis species and other perennial herbs. Nordic Journal of Botany, 21(2), 187-194.",
"Fletcher, W.J., T. Boski, and D. Moura. 2007. Palynological evidence for environmental and climate change in the lower Guadiana valley, Portugal, during the last 13 000 years. The Holocene 17(4):481-494.",,"Roché, B. F., & Roché, C. T. (1992). Identification, Introduction, Distribution, Ecology, and Economics of Centaurea Species. In Noxious Range Weeds. CRC Press. https://doi.org/10.1201/9780429046483-28","Øllgaard, B. (1990). Lycopodiaceae. In Pteridophytes and gymnosperms (pp. 31-39). Berlin, Heidelberg: Springer Berlin Heidelberg.",
"Florenzano et al. 2018 Plants, water and humans, pollen analysis from Holocene archaeological sites on Sai Island, northern Sudan. Palynology Vol. 43. https://doi.org/10.1080%2F01916122.2017.1384411",,"Romo, A. (2021). Apomictic species of Alchemilla from the High Atlas Mountains: revision of the genus Alchemilla (Rosaceae) in Morocco.","Öztürk, M., Çelik, A., Güvensen, A., & Hamzao?lu, E. (2008). Ecology of tertiary relict endemic Liquidambar orientalis Mill. forests. Forest Ecology and Management, 256(4), 510-518.",
Florenzano et al. 2016 Palynological evidence of cultural and environmental connections in Sudanese Nubia during the Early and Middle Holocene. Quaternary International. Vol. 65-80. https://doi.org/10.1016/j.quaint.2016.01.001,,"Rose, J. P., Toledo, C. A., Lemmon, E. M., Lemmon, A. R., & Sytsma, K. J. (2021). Out of sight, out of mind: widespread nuclear and plastid-nuclear discordance in the flowering plant genus Polemonium (Polemoniaceae) suggests widespread historical gene flow despite limited nuclear signal. Systematic Biology, 70(1), 162-180.","Padgett, D. J. (2007). A monograph of nuphar (nymphaeaceae) 1. Rhodora, 109(937), 1-95.",
"Fofana, C. A. K.; Sow, E.; Lézine, A. M. 2020 The Senegal River during the last millennium Review of Palaeobotany and Palynology Vol. 275 10.1016/j.revpalbo.2020.104175",,"Rugini, E., De Pace, C., Gutiérrez-Pesce, P., Muleo, R. (2011). Olea. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg","Page, C. N. (1990). Cupressaceae. In Pteridophytes and Gymnosperms (pp. 302-316). Berlin, Heidelberg: Springer Berlin Heidelberg.",
"Fouache, E., J.J. Dufaure, M. Denèfle, A.M. Lezine, P. Léra, F. Prendi, and G. Touchais. 2001. Man and environment around lake Maliq (southern Albania) during the Late Holocene. Vegetation History and Archaeobotany 10:79-86.

",,"Sadiq Wada, A., Julde, S. A. M., Borodo, S. B., Ahmad, M. H., Malami, S., & Yaro, A. H. (2022). Phytochemistry, ethnomedicinal uses and pharmacological activity of Diodia scandens; a review of current scientific literature. Egyptian Journal of Basic and Applied Sciences, 9(1), 533-541.","Parker, V. T., Rodriguez, C. Y., Wechsler, G., & Vasey, M. C. (2020). Allopatry, hybridization, and reproductive isolation in Arctostaphylos. American Journal of Botany, 107(12), 1798-1814.",
"Foucault, A., and D.J. Stanley. 1989. Late Quaternary palaeoclimatic oscillations in East Africa recorded by heavy minerals in the Nile Delta. Nature 339:44-46.",,"Salinas, M. J., Romero, A. T., Blanca, G., Herrán, R. D. L., Garrido-Ramos, M., Ruíz-Rejón, C., ... & Suárez, V. (2003). Contribution to the taxonomy and phylogeny of Sarcocapnos DC.(Fumariaceae). Plant Systematics and Evolution, 237, 153-164.","Pell, S. K., Mitchell, J. D., Miller, A. J., & Lobova, T. A. (2011). Anacardiaceae. Flowering plants. Eudicots: sapindales, cucurbitales, myrtaceae, 7-50.",
Garcea 2013 Gobero: the no-return frontier : archaeology and landscape at the Saharo-Sahelian borderland.,,"Sang, T. (1995). Phylogeny and biogeography of Paeonia (Paeoniaceae). The Ohio State University.","Pereira, A. S. D. S., Barbosa, C. V. D. O., Silva, E. F. D., Guimarães, J. T. F., Filgueira, J. P. P. S., Teixeira, L. A., & Félix-da-Silva, M. M. (2021). Flora of Anacardium (Anacardiaceae) in the state of Pará, Brazil. Rodriguésia, 72, e02142020.",
"Garcia Anton, M.; Sainz Ollero, H. 1999 Etude palynologique menée dans le secteur de Mleiha. In: Mleiha 1 : Mouton M. (Ed.). Environements, stratégies de subsistence et artisanats. Trav. Maison Orient Méditerranéen, Lyon.",,"Sarika-Hatzinikolaou, M., Koumpli-Sovantzi, L., & Yannitsaros, A. (1994). Myriophyllum alterniflorum DC. (Haloragaceae), a new record for the Greek flora. Phyton, Annales rei botanicae (Horn, Austria), 34, 243-246.","Pijut, P. M. (2000). Cedrus—the true cedars. Arboriculture & Urban Forestry (AUF), 26(4), 218-224.",
"Gerasimidis, A., and N. Athanasiadis. 1995. Woodland history of northern Greece from the mid Holocene to recent time based on evidence from peat pollen profiles. Vegetation History and Archaeobotany 4:109-116.",,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038","Pijut, P. M. (2008). Carpinus. Woody plant seed manual, Agriculture Handbook, 727, 328-332.",
"Gerasimidis, A., and S. Panajiotidis. 2010. 9. Flambouro, Pieria Mountains (northern Greece). Grana 49:76-78.",,"Shabbir, A. (2012). Rhus coriaria linn, a plant of medicinal, nutritional and industrial importance: a review. J Anim Plant Sci, 22(2), 505-12.","Polhill, R. M., & Beentje, H. (2005). Flora of Tropical East Africa: Santalaceae. Royal Botanic Gardens Kew.",
"Giralt, S., F. Burjachs Casas, J.R. Roca, and R. Julià Brugués. 1999. Late Glacial to Early Holocene environmental adjustment in the Mediterranean semi-arid zone of the Salines playa-lake (Alacante, Spain). Journal of Paleolimnology 21:449-460.",,"Simpson, M. G. (2019). Plant systematics. Academic press.","Polhill, R. M., & Wiens, D. (1999). Flora of Tropical East Africa-Loranthaceae (1999) (Vol. 179). CRC Press.",
"Giraudi et al 2013 Holocene palaeoclimate in the northern Sahara margin (Jefara Plain, northwestern Libya)",,"Siniscalchi, C. M., Loeuille, B., Funk, V. A., Mandel, J. R., & Pirani, J. R. (2019). Phylogenomics yields new insight into relationships within Vernonieae (Asteraceae). Frontiers in Plant Science, 10, 1224.","Pope, G. V., Polhill, R. M., & Martins, E. S. (2006). Flora Zambesiaca (Vol. 9, Part 3). Polygonaceae-Myriaceae. Royal Botanic Gardens, Kew. ",
"Giraudi, C.; Mercuri, A.-M. 2013. Early to Middle Holocene Environmental Variations in the Gobero basin. Monograph Series 9. Journal of African Archaeology. 114-126",,"Smith, S. A., & Donoghue, M. J. (2010). Combining historical biogeography with niche modeling in the Caprifolium clade of Lonicera (Caprifoliaceae, Dipsacales). Systematic biology, 59(3), 322-341.","Popiela, A., & ?ysko, A. (2011). The distribution of species of the section Elatinella Seub.(Elatine L. Elatinacea) in Europe. Geobotanist and taxonomist. A volume dedicated to professor Adam Zajac on the 70th anniversary of his birth, 147-159.",
"González-Cordero, A., E. Cerrillo-Cuenca, J.A. López-Sáez, and L. López-Merino. 2008. El yacimiento de Sierra de La Pepa (La Cumbe, Cáceres). Apuntes sobre el proceso transicional del Neolítico Final al Calcolítico en Extremadura. En: M.S. Hernández-Pérez, J.A. Soler-Díaz and J.A. López-Padilla (Eds.), Actas IV Congreso del Neolítico Peninsular. Tomo II, pp.340-347. Museo Arqueológico de Alicante - Diputacíon de Alicante, Alicante..",,"Sofiah, S., & Sulistyaningsih, L. D. (2019). The diversity of Smilax (Smilacaceae) in Besiq-Bermai and bontang forests, east Kalimantan, Indonesia. Biodiversitas Journal of Biological Diversity, 20(1).","Prance, G. T., & White, F. (1988). The genera of Chrysobalanaceae: a study in practical and theoretical taxonomy and its relevance to evolutionary biology. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 1-184.",
"González-Ramón, A., B. Andreo, A. Ruiz-Bustos, D.A. Richards, J.A. López-Sáez, and F. Alba-Sánchez. 2012. Late Quaternary paleoenvironmental record from a sedimentary fill in Cucú cave, Almería, SE Spain. Quaternary Research 77:264- 272.",,"Song, Y. G., Li, Y., Meng, H. H., Fragnière, Y., Ge, B. J., Sakio, H., ... & Kozlowski, G. (2020). Phylogeny, taxonomy, and biogeography of Pterocarya (Juglandaceae). Plants, 9(11), 1524.","Pringle, J. S. (2014). Morphological characteristics of the family Gentianaceae. In The Gentianaceae-Volume 1: Characterization and Ecology (pp. 1-12). Berlin, Heidelberg: Springer Berlin Heidelberg.",
"Grandi, Lippi & Mercuri 1998 Pollen in dung layers from rockshelters and caves of Wadi Teshuinat (Libyan Sahara). In book: Wadi Teshuinat - Palaeoenvironment and Prehistory in south-western Fezzan (Libyan Sahara) (pp.95-106) Editors: M. Cremaschi, S. di Lernia",,"Sonké, B., Simo, M., & Dessein, S. (2009). Synopsis of the genus Mitriostigma (Rubiaceae) with a new monocaulous species from south Cameroon. Nordic Journal of Botany, 27(4), 305-312.","Puff, C. (2012). A biosystematic study of the African and Madagascan Rubiaceae-Anthospermeae (Vol. 3). Springer Science & Business Media.",
"Grandi, Lippi & Mercuri 1998 Pollen in dung layers from rockshelters and caves of Wadi Teshuinat (Libyan Sahara). In book: Wadi Teshuinat - Palaeoenvironment and Prehistory in south-western Fezzan (Libyan Sahara) (pp.95-106)Editors: M. Cremaschi, S. di Lernia",,"Sprague, E. F. (1962). Pollination and evolution in Pedicularis (Scrophulariaceae). Aliso: A Journal of Systematic and Floristic Botany, 5(2), 181-209.","Radcliffe-Smith, A. (1993). Notes on African Euphorbiaceae XXIX: Uapaca. Kew bulletin, 611-617.",
"Gremmen, W.H.E., and S. Bottema. 1991. Palynological investigations in the Syrian Gazira. Pages 105-116 in H. Kühne, editor. Die rezente Umwelt von Tall Seh Hamad und Daten zur Umweltrekonstruktion der assyrischen Stadt Dur-Katlimmu. Dietrich Reimer Verlag, Berlin, Germany.",,"Sramkó, G., Takács, A., Molnár V, A., Popiela, A., & Lukács, B. A. (2023). Data on species plasticity and stable characters have an overall importance in identification keys: comments on Brullo et al.(2022) article. Acta Botanica Croatica, 82(2), 151-154.","Radcliffe-Smith, A. (1996). Euphorbiaceae Flora Zambesiaca 9 (4). Includes a picture, 157-159.",
"Grouard & Lezine 2023 At the edge of the desert: The evolution of the Holocene environment in Lake Rkiz, Senegal River valley. Quaternary International. Vol. 667: 41-50",,"Staples, G. W. (2007). A synopsis of Lepistemon (Convolvulaceae) in Australasia. Kew Bulletin, 223-232.","Ranjbar, M., & Khalvati, S. (2019). World checklist of Moltkia (Boraginaceae) with notes on types. Phytotaxa, 408(3), 143-160.",
"Grüger, E. 2002. Pollen analysis of soil samples from the A.D. 79 level. Boscoreale, Oplontis, and Pompeii. Pages 189-216 in W.F. Jashemski and F.G. Meyer, editors. The Natural History of Pompeii. Cambridge University Press.",,"Stoffelen, P., Robbrecht, E., & Smets, E. (1996). A revision of Corynanthe and Pausinystalia (African Rubiaceae-Coptosapelteae). Botanical Journal of the Linnean Society, 120(4), 287-326.","Robinson, H. (1999). Revisions in paleotropical Vernonieae (Asteraceae). Biological Soc..",
"Grüger, E., and B. Thulin. 1998. First results of biostratigraphical investigations of Lago d'Averno near Naples relating to the period 800 BC-800 AD. Quaternary International 47-48:35-40.",,"Stride, G., Nylinder, S., & Swenson, U. (2014). Revisiting the biogeography of Sideroxylon (Sapotaceae) and an evaluation of the taxonomic status of Argania and Spiniluma. Australian Systematic Botany, 27(2), 104-118.","Rose, J. P., Toledo, C. A., Lemmon, E. M., Lemmon, A. R., & Sytsma, K. J. (2021). Out of sight, out of mind: widespread nuclear and plastid-nuclear discordance in the flowering plant genus Polemonium (Polemoniaceae) suggests widespread historical gene flow despite limited nuclear signal. Systematic Biology, 70(1), 162-180.",
"Guinet, P., Planque, D. 1969 Résultats de l'analyse pollinique. in: Camps, G. (ed) AMEKNI, néolithique ancien du Hoggar, Mémoires du centre de recherche anthropologiques, préhistoriques et ethnographiques. Organisme de Coopération scientifique en Algérie. Paris",,"Sulman, J. D., Drew, B. T., Drummond, C., Hayasaka, E., & Sytsma, K. J. (2013). Systematics, biogeography, and character evolution of Sparganium (Typhaceae): diversification of a widespread, aquatic lineage. American Journal of Botany, 100(10), 2023-2039.","Sang, T. (1995). Phylogeny and biogeography of Paeonia (Paeoniaceae). The Ohio State University.",
"Hajar, L., M. Haïdar-Boustani, C. Khater, and R. Cheddadi. 2010. Environmental changes in Lebanon during the Holocene: Man vs. climate impacts. Journal of Arid Environments. 74:746-755.",,"Sun, M., & Lin, Q. (2010). A revision of Elaeagnus L.(Elaeagnaceae) in mainland China. Journal of Systematics and Evolution, 48(5), 356-390.","Schellenberg, J., & Bergmeier, E. (2022). The Calluna life cycle concept revisited: Implications for heathland management. Biodiversity and Conservation, 31(1), 119-141.",
"Hamdan, M.A., F.A. Hassan, R.J. Flower, S.A.G. Leroy, N.A. Shallaly, and A. Flynn. 2019. Source of Nile sediments in the floodplain at Saqqara inferred from mineralogical, geochimical, and pollen data, and their palaeoclimatic and geoarchaeological significance. Quaternary International 501(B):272-288.",,"Sun, Q., Wang, N., Xu, W., & Zhou, H. (2021). Genus Ribes Linn.(Grossulariaceae): A comprehensive review of traditional uses, phytochemistry, pharmacology and clinical applications. Journal of Ethnopharmacology, 276, 114166.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",
"Hamdan, M.A., R.J. Flower, F.A. Hassan, and S.A.G. Leroy. 2020. Geochemical and palynological analysis of Faiyum Lake sediments, Egypt: Implications for holocene paleoclimate. Journal of African Earth Sciences 167:1-18.",,"Swenson, U., & Bartish, I. V. (2002). Taxonomic synopsis of Hippophae (Elaeagnaceae). Nordic Journal of Botany, 22(3), 369-374.","Sleumer, H. (1987). The genera Embelia Burm. f. and Grenacheria Mez (Myrsinaceae) in New Guinea. Blumea: Biodiversity, Evolution and Biogeography of Plants, 32(2), 385-396.",
"Hamilton, A. C. (1982). Environmental history of East Africa. Academic Press.",,"Szalontai, B., Stranczinger, S., Mesterházy, A., Scribailo, R. W., Les, D. H., Efremov, A. N., Jacono, C. C., Kipriyanova, L. M., Kaushik, K., Laktionov, A. P., Terneus, E., & Csiky, J. (2018). Molecular phylogenetic analysis of Ceratophyllum L. taxa: A new perspective. Botanical Journal of the Linnean Society, 188(2), 161–172. https://doi.org/10.1093/botlinnean/boy057","Smith, A. R., & Royal Botanic Gardens, Kew. (1987). Flora of Tropical East Africa. Euphorbiaceae (Part 1). Royal Botanic Gardens.",
"Hamilton, A.C. 1982. Upper Quaternary pollen diagrams from montane eastern Africa. Pages 111-191 in Environmental history of East Africa: a study of the Quaternary. Academic Press, London, United Kingdom.

",,"Tang, Z.X. et al. (2011). Secale. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg.","Sprague, E. F. (1962). Pollination and evolution in Pedicularis (Scrophulariaceae). Aliso: A Journal of Systematic and Floristic Botany, 5(2), 181-209.",
"Hamilton, A.C. 1982 Environmental history of East Africa. Academic Press, London",,"Tavakkoli, S., Kazempour Osaloo, Sh., & Maassoumi, A. A. (2008). Morphological cladistic analysis of Calligonum and Pteropyrum (Polygonaceae) in Iran. Iran J. Bot., 14(2), 117-125. Tehran.","Sreenath, A., & Rao, B. R. P. (2021). Nine species of Riccia (Mich.) L., additions to Bryoflora of South India. International Journal of Advanced Research in Biological Sciences, 8, 198-205.",
"Holail, H.; El Beialy, S.; El-Ghazaly, G. 1996 Sedimentological and palynological characteristics of mangrove sediments, North Qatar. N. Jb. Geol. Palaont. Abh. Vol. 200: 309-323",,"Tawfeek, N., Mahmoud, M. F., Hamdan, D. I., Sobeh, M., Farrag, N., Wink, M., & El-Shazly, A. M. (2021). Phytochemistry, pharmacology and medicinal uses of plants of the genus Salix: An updated review. Frontiers in pharmacology, 12, 593856.","Steinmann, V. W., & Porter, J. M. (2002). Phylogenetic relationships in Euphorbieae (Euphorbiaceae) based on ITS and ndhF sequence data. Annals of the Missouri Botanical Garden, 453-490.",
"Hooghiemstra 1988 Changes of major wind belts and vegetation zones in NW Africa 20,000-5000 yr B.P., as deduced from a marine pollen record near cap blanc. Review of Palaeobotany and Palynology",,"Tharakan, S. T. (2021). Phytochemical and pharmacological properties of five different species of Jasminum. Plant Arch, 21(2), 126-136.","Stoffelen, P., Robbrecht, E., & Smets, E. (1996). A revision of Corynanthe and Pausinystalia (African Rubiaceae-Coptosapelteae). Botanical Journal of the Linnean Society, 120(4), 287-326.",
"Hooghiemstra, H. 1988 Palynological records from northwest African marine sediments: a general outline of the interpretation of the pollen signal. Philosophical Transactions of the Royal Society of London",,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Stride, G., Nylinder, S., & Swenson, U. (2014). Revisiting the biogeography of Sideroxylon (Sapotaceae) and an evaluation of the taxonomic status of Argania and Spiniluma. Australian Systematic Botany, 27(2), 104-118.",
"Hooghiemstra, H. 1989 Variations of the NW african trade wind regime during the last 140 000 years: changes in pollen flux evidenced by marine sediment records. In: Paleoclimatology and Paleometeorology: modern and past patterns of global atmospheric transport. Leinen M. and Sarnthein M. (eds.), Kluwer Academic Publisher, Dordrecht",,"Timberlake, J. R., & Martins, E. S. (Eds.). (2009). Flora Zambesiaca (Vol. 12, Part 2). Royal Botanic Gardens, Kew.","Styles, B. T., & White, F. (1991). Flora of Tropical East Africa-Meliaceae. CRC Press.",
"Hooghiemstra, H., A. Bechler, H.J. Beug 1987. Isopollen maps for 18,000 years B.P. of the atlantic offshore of Northwest Africa: evidence for paleowind circulation. Paleoceanography 2, 6, 561-582.",,"Timberlake, J. R., & Martins, E. S. (Eds.). (2013). Flora Zambesiaca (Vol. 8, Part 5). University of Chicago Press. ISBN: 978-1842464120","Sulman, J. D., Drew, B. T., Drummond, C., Hayasaka, E., & Sytsma, K. J. (2013). Systematics, biogeography, and character evolution of Sparganium (Typhaceae): diversification of a widespread, aquatic lineage. American Journal of Botany, 100(10), 2023-2039.",
