Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Hypecoum,,,,,,,,,,x,x,x,,x,,,,,Dahl 1990 Nordic Journal of Botany,,,,,,,,
Hypericum elodes,,,,,,,,,,x,x,,,,,,,,"Carta (2014) Atti Soc. Tosc. Sci. Nat., Mem., Serie B",,,,,,,,
Hypericum undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Crockett SL, Robson NK (2011) Taxonomy and Chemotaxonomy of the Genus Hypericum. Med Aromat Plant Sci Biotechnol",,,,,,,,
Hyphaene t.,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"According to Watrin (2009) is tropical-sudanian, according to hely (2914) is sudanian-sahel-sahara and according to White (1983) is sudanian and saharan, not recorded in the Sahel"
Hypoestes t.,,,x,x,,x,x,x,,,,,,,,,,,"Darbyshire et al. 2015 Flora Zambesiaca : Mozambique, Malawi, Zambia, Zimbabwe, Botswana. Volume 8, part 6, Acanthaceae Part 2.",,,,,,,,
Icacinaceae,,,x,x,,x,,,,,,,,,,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Ilex,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Impatiens,x,x,x,x,x,x,x,x,,x,x,x,,x,,,,,Grey-Wilson (1980) CRC Press,,,,,,,,Introduced in Temperate regions
Indigofera,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Ipomoea,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,"Nimmakayala, P., Vajja, G., Reddy, U.K. (2011). Ipomoea. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,
Irvingia,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Isoberlinia,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) is not in the Guineo-Congolian area.
Ixora,,,,,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Jacquemontia t.,,,x,x,,x,x,x,,,,,,,,,,,"Namoff, S., Luke, Q., Jiménez, F. et al. (2010) J Plant Res 123, 57–65",,,,,,,,
Jasminum,,x,x,x,x,x,x,,,x,,x,x,,x,,,,Reshma et al. (2021) Plant Archives,,,,,,,,According to White (1983) is in the mediterranean area. According to Hely (2014) is in the Guineo-congolian-sudanian region.
Jatropha/Croton,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Juglans,,,,,,,,,,x,x,x,,x,,,,,"Aradhya, M. K., Potter, D. A. N. I. E. L., & Simon, C. J. (2004, November). Origin, evolution, and biogeography of Juglans: a phylogenetic perspective. In V International Walnut Symposium 705 (pp. 85-94).",,,,,,,,
Juncaceae,,x,x,x,x,,,x,x,x,x,x,x,x,x,,,,"Milliken, W., Klitgard, B. and Baracat, A. (2009 ) Neotropikey - Interactive key and information resources for flowering plants of the Neotropics.",,,,,,,,
Juncaginaceae,,,x,,,,,,,x,x,x,x,x,x,,,,"Milliken, W., Klitgard, B. and Baracat, A. (2009 ) Neotropikey - Interactive key and information resources for flowering plants of the Neotropics.",,,,,,,,
Justicia t.,x,x,x,x,x,x,x,x,,,,x,x,x,x,,,,"Carneiro, M. R. B., Sallum, L. O., Martins, J. L. R., Peixoto, J. D. C., Napolitano, H. B., & Rosseto, L. P. (2023). Overview of the Justicia genus: insights into its chemical diversity and biological potential. Molecules, 28(3), 1190.",,,,,,,,
Kedrostis,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Keetia,,,x,x,,x,x,,,,,,,,,,,,"Bridson, D. M. (1986). The reinstatement of the African genus Keetia (Rubiaceae subfam. Cinchonoideae, tribe Vanguerieae). Kew bulletin, 965-994.",,,,,,,,
Kigelia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,1 species: Kigelia africana
Klaineanthus,,,x,x,,,x,x,,,,,,,,,,,Webster (1994) Annals of the Missouri Botanical Garden,,,,,,,,
Kohautia,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Lamiaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Landolphia,,,,,x,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Lannea,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Laportea,,,x,x,,x,x,,,,,,,,,,,,"Walker (2023)- Dicotyledons: Rosids, Illustrated Handbook of Succulent Plants",,,,,,,,
Larix,,,,,,,,,,x,x,x,,x,,,,,LePage and Basinger (1995) Proceedings of an international symposium,,,,,,,,
Lauraceae,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Lavatera,x,,x,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Lawsonia,,,,x,,,,,,,,x,x,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Zumrutdal, E., & Ozaslan, M. (2012). A miracle plant for the herbal pharmacy; henna (Lawsonia inermis).",,,,,,,cultivated in Africa and Asia (Zumrutdal and Ozaslan 2012)
Lemnaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"van der Plas, F. (1972). Lemnaceae. Flora Malesiana - Series 1, Spermatophyta, 7(1), 219–237.",,,,,,,,
Leontice,,,,,,,,,,x,,x,x,,,,,,"Abidkulova, K. T., Almabek, D. M., Ivashchenko, A. A., Mukhitdinov, N. M., Kurbatova, N. V., Turalin, B. A., & Karasholakova, L. N. (2024). Herbarium as tools in study of plant distribution and ecology (on the examples Kazakh species of Leontice and Gymnospermium). Eurasian Journal of Ecology, 78(1).",,,,,,,,
Lepidagathis,,,x,x,,x,x,x,,,,,,,,,,,"Darbyshire et al. 2015 Flora Zambesiaca : Mozambique, Malawi, Zambia, Zimbabwe, Botswana. Volume 8, part 6, Acanthaceae Part 2.",,,,,,,,pantropical
Lepisanthes,,,,,,x,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Lepistemon,,,,,x,x,,,,,,,,,,,,,"Staples, G. W. (2007). A Synopsis of Lepistemon (Convolvulaceae) in Australasia. Kew Bulletin, 62(2), 223-232",,,,,,,,
Leptaulus,,,,,,x,,,,,,,,,,,,,"Schori, M. (2016). Cardiopteridaceae. In: Kadereit, J., Bittrich, V. (eds) Flowering Plants. Eudicots. The Families and Genera of Vascular Plants, vol 14. Springer,",,,,,,,,
Leucaena,,,,,,,,,,,,,,x,,x,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,
Ligustrum,,,,,,,,,,x,x,x,,,x,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,
Linum t.,x,x,x,x,x,x,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Liquidambar,,,,,,,,,,x,,x,,x,,,,,Öztürk et al. (2008) Forest Ecology and Management,,,,,,,,
Littorella,,,,,,,,,,x,x,,,x,,,,,Hoggard et al. (2003) Systematics and Phytogeography,,,,,,,,
Lobelia,x,x,x,x,x,x,,,,x,x,x,,x,x,,,,Lammers 2011 Annals of the Missouri Botanical Garden,,,,,,,,According to Hely (2014) is sudanian-sahel
Lonicera,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Dubois, J. J. B., & Blazich, F. A. (2008). Lonicera L. The Woody Plant Seed Manual. US Department of Agriculture, Forest Service, Washington DC, 682-688.",,,,,,,Many species are cultivated/invasive
Lophira,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Loranthaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Loranthus,,,,x,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Nickrent, D. L., Su, H. J., Lin, R. Z., Devkota, M. P., Hu, J. M., & Glatzel, G. (2021). Examining the needle in the haystack: Evolutionary relationships in the mistletoe genus Loranthus (Loranthaceae). Systematic Botany, 46(2), 403-415.",,,,,,,
Lotus t.,,x,x,x,,,x,x,x,x,x,x,x,,x,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock (2005) Royal Botanic Gardens, Kew.",,,,,,,,
Luffa,,,,,,,,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Lycium,,x,x,x,,,,,,x,,x,x,x,x,,,,Vorontsova & Knapp (2012) Flora of Tropical East Africa.,,,,,,,,"According to White (1983) is present in the Mediterranean, Sahara, Somalia-Masai and south africa."
Lysimachia,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,
Lythraceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Bramley, Trias-Blasi & Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Lythrum,,,,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Lythrum t.,,,,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Macaranga,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) not present in Sudanian region.
Maerua,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Maesa,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,According to White (1983) in the Sahel
Mallotus,,,,,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Malva,x,,x,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Malva undif.,x,,x,x,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Mangifera,,,,,,,,,,,,x,,,,x,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,Cultivated in Africa
Manilkara,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Markhamia,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,According to White (1983) in Zambezian and afromontane archipelago
Matthiola,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.",,,,,,,
Maytenus,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,According to Hely (2014) olny in sudanian region
Melastomataceae,x,x,x,x,x,x,x,,,,,x,,x,x,,,,"Utteridge, T., & Bramley, G. (2020). The Kew Tropical Plant Families Identification Handbook (2nd ed.). Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Melhania,,,x,x,,,,x,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Meliaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Milliken, W., Klitgaard, B., & Baracat, A. (Eds.). (2010). Neotropikey: Interactive key and information resources for flowering plants of the Neotropics. Retrieved from http://www.kew.org/science/tropamerica/neotropikey.htm","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Menispermaceae undif.,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,"Utteridge, T., & Bramley, G. (2020). The Kew Tropical Plant Families Identification Handbook (2nd ed.). Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Menyanthes,,,,,,,,,,x,x,x,,x,,,,,Thompson; Hermanutz and Innes (2011) Canadian Journal of Botany,,,,,,,,
Mercurialis,,,,,,,,,,x,x,x,x,,,,,,Obbard et al. (2006) Evolution,,,,,,,,
Mimusops,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,
MIOCENE POLLEN GRAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
Mitracarpus,,,,,,,,,,,,,,x,,x,,,Ekalu (2021) Scientific African,,,,,,,,"Native to Brazil. In Hely (2014) the species Mitracarpus villosus is established as ""Sudanian-Sahel"""
Mitragyna/Hallea,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) not in the Sahel
Mitriostigma,,,x,x,,x,,,,,,,,,,,,,Sonké et al. (2009) Nordic Journal of Botany,,,,,,,,"""The native range of this genus is Bioko to Kenya and S. Africa."""
Moltkia,,,,,,,,,,x,,,,,,,,,Ranjbar and Khalvati (2019) Phytotaxa,,,,,,,,According to Quézel (1978) is saharo-arabian.
Moltkiopsis,,,,,,,,,x,,,,,,,,,,"Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Monotes,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Monsonia,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Moraceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Utteridge, T., & Bramley, G. (2020). The Kew Tropical Plant Families Identification Handbook (2nd ed.). Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Morelia,,,,,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Morella,,,,,,x,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,"Synnonym of Myrica. According to Timothy M. A. Utteridge and Laura V. S. Jennings (2022). Trees of New Guinea. Kew Publishing. Royal Botanic Gardens, Kew: A genus of c. 44 species with a cosmopolitan distribution."
Moringaceae,,,x,x,,x,x,x,x,,,,,,,,,,"Kubitzki, K. (2003). Moringaceae. In: Kubitzki, K., Bayer, C. (eds) Flowering Plants · Dicotyledons. The Families and Genera of Vascular Plants, vol 5. Springer, Berlin, Heidelberg",,,,,,,,
Morus,,,,,,,,,,,,x,,x,,x,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,"According to Timothy M. A. Utteridge and Laura V. S. Jennings (2022). Kew Publishing. Royal Botanic Gardens, Kew: mostly from the temperate regions of the northern hemisphere. According to White (1983) guineo-sudanian region"
Musanga,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) is not present in Sudanian-sahel zones
Musanga/Myrianthus,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Myrianthus only in the guineo-congolian area
