"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eriocaulon","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","HippophaÃ« rhamnoides","Ilex","Juncaceae","Lamiaceae undif.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Monoletes","Morella","Myriophyllum undif.","Myrtus","Olea t.","Papaver t.","Paronychieae","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Searsia","Sparganium","Tamarix","Thalictrum","Trifolium t.","Triletes","Typha","Unknown","Urtica t.","Valeriana t.","Valerianaceae undif.","Valerianella"
"13529",NA,NA,"  473","    0","    0","    0","   29","    0","    3","    0","    6","    0","   38","    0","    0","    0","   11","    0","    0","    0","    0","    0","    2","    0","   13","    0","    0","   62","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   27","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","   31","    0","    1","    7","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    6","    0","    0","    0","    0"
"13607",NA,NA,"  478","    0","    0","    0","   41","    0","   13","    0","    4","    0","   12","    0","    0","    1","    4","    0","    0","    0","    0","    0","    1","    0","   13","    0","    0","  110","    0","    5","    0","    0","    0","    1","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    5","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   67","    0","    0","    0","    0","    0","   14","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0"
"13646",NA,NA,"  488","    0","    0","    0","   39","    0","    9","    1","    4","    0","   31","    0","    0","    0","    9","    0","    0","    0","    0","    1","   11","    2","    9","    1","    0","   91","    0","    6","    0","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    9","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","   55","    0","    4","    7","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","    2","    0","    1"
"13686",NA,NA,"  493","    0","    0","    0","   49","    0","    9","    0","   13","    0","   30","    0","    0","    0","    9","    0","    0","    0","    0","    0","    6","    0","   22","    1","    0","   79","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    1","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","   33","   13","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   55","    0","    1","    4","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    2"
"13725",NA,NA,"  498","    0","    1","    0","   35","    0","   11","    0","    2","    0","   37","    0","    0","    0","   10","    0","    0","    0","    0","    0","    3","    0","    3","    1","    0","   93","    0","    0","    0","    0","    0","    0","   17","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","   10","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    1","    0","    3","   59","    0","    0","    2","    0","    0","   20","    8","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    2","    2"
"13764",NA,NA,"  503","    0","    0","    1","   43","    0","   18","    0","   12","    0","   22","    0","    0","    0","    9","    0","    0","    0","    0","    0","    1","    1","   23","    1","    0","   64","    0","    0","    0","    0","    0","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   53","    2","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   81","    0","    0","    7","    0","    0","   20","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    8","    0","    1","    0","    0"
"13804",NA,NA,"  508","    0","    5","    0","   59","    0","    4","    0","   18","    0","   24","    0","    0","    0","    8","    0","    0","    0","    0","    0","    5","    0","   62","    0","    0","   33","    0","    1","    0","    0","    0","    0","   13","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   36","    0","    8","    1","    0","    0","   20","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"13843",NA,NA,"  513","    0","    0","    0","   33","    0","    6","    0","   17","    0","   11","    0","    0","    0","    6","    0","    0","    0","    0","    0","    4","    0","   27","    0","    0","   22","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   63","    0","    1","    2","    0","    0","   12","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2"
"13882",NA,NA,"  518","    0","    0","    0","   34","    0","   10","    0","    2","    0","   12","    0","    0","    0","    4","    0","    0","    0","    0","    0","    6","    0","   27","    1","    0","   33","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    3","   28","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    1","    0","    0","   80","    0","    4","    3","    0","    0","   49","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    9","    0","    0"
"13921",NA,NA,"  523","    0","    0","    0","   34","    0","    8","    0","   10","    0","   17","    0","    0","    0","    4","    0","    0","    0","    0","    0","    9","    0","   47","    0","    1","   30","    0","    3","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","   10","   16","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","   81","    1","    3","    1","    0","    0","   25","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","   12","    0","    0","    0","    0"
"13961",NA,NA,"  528","    0","    0","    0","   48","    0","    7","    0","   10","    0","   17","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","    0","   52","    0","    0","   28","    0","    2","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    8","   20","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   79","    0","    0","    0","    0","    0","   30","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0"
"14000",NA,NA,"  533","    1","    1","    0","   37","    0","   11","    0","   25","    0","   23","    0","    1","    0","    7","    0","    0","    0","    0","    0","    8","    0","   35","    0","    0","   19","    0","    3","    0","    0","    0","    0","    3","    2","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   23","   19","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   71","    0","    2","   12","    1","    0","   17","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    2","    0","    1","    0","    0"
"14000",NA,NA,"  538","    1","    0","    0","   30","    0","   13","    0","   11","    0","   22","    0","    0","    0","    4","    0","    0","    0","    0","    0","    5","    0","   72","    0","    0","   23","    0","    0","    0","    0","    0","    0","   12","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    4","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   62","    0","    2","   11","    2","    0","   44","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0"
