"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hibiscus","Hippuris","Hottonia","Hydrocharitaceae","Hypericum undif.","Ilex","Impatiens","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Liquidambar","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Moltkia","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rheum","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viola","Vitis","Ziziphus/Paliurus"
"4107",NA,NA," 235","   7","   1","   1","   0","   0","   3","   5","   0","   0","   0","  33","   0","  33","  11","   0","   0","  13","   1","  12","   0","   1","   0","   3","  20","   5","   1","   0","   0","   6","   0","   0","   6","   1","  44","   0","  27","   0","   0","  61","   0","   0","   0","   0","   1","  15","   0","1454","   0","   1","   0","   0","   0","   2","   2","   5","   0","   0","   0","   0","   0","  68","  17","   0","   1","   1","   9","   9","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   3","   0","   7","   0","   0","   2","   0","   0","   0"," 233","   0","   4","   0"," 131","  14","  20","   0","   0","   0","   0","   0","   4","  36","  19","   0","   0","   0","   1","   1","   2"," 125","   0","   3","   1","   0","  82","   0","   1","   1","   1","   0","   0","   0","   0","   5","   0","  10","   0","   0","   1","   1","   0","   0","   2","   0"
"4143",NA,NA," 237","   7","   0","   0","   0","   0","   2","  10","   0","   0","   0","  33","   0","  36","  10","   0","   0","  33","   0","  13","   0","   0","   0","   0","  13","   0","   0","   0","   0","  12","   1","   0","  11","   1","  52","   0","  19","   0","   0","  47","   0","   0","   0","   0","   0","  11","   0","1062","   0","   1","   0","   0","   0","   5","   1","   3","   0","   3","   0","   0","   0","  45","   3","   0","   0","   0","   6","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   3","   7","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   3","   1","   0","   3","   0","   3","   0"," 278","   0","   8","   0","  76","  11","  20","   0","   0","   0","   0","   1","   5","  18","  15","   0","   0","   0","   6","   0","   1","  80","   0","   4","   0","   0","  56","   0","   1","   0","   1","   0","   0","   0","   0","   7","   1","   8","   1","   0","   1","   0","   0","   0","   0","   0"
"4196",NA,NA," 240","   7","   1","   0","   0","   0","   1","   7","   0","   0","   0","  14","   0","  20","   1","   0","   0","  19","   0","   8","   0","   1","   0","   0","  16","   3","   0","   0","   0","   5","   0","   0","   9","   1","  64","   0","  26","   0","   2","  52","   0","   0","   0","   1","   0","   3","   0"," 787","   0","   1","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","  58","  11","   0","   0","   1","   2","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0"," 274","   0","   6","   0","  43","  10","  23","   0","   0","   0","   0","   0","   4","  18","  14","   0","   0","   0","   0","   0","   1","  70","   3","   3","   0","   0","  60","   0","   1","   0","   1","   0","   0","   0","   0","   3","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1"
"4231",NA,NA," 242","   6","   0","   1","   0","   0","   0","   7","   0","   0","   0","  27","   0","  30","   3","   0","   0","  17","   0","  12","   0","   1","   0","   0","   8","   1","   1","   0","   0","   7","   0","   0","   9","   0","  46","   0","  40","   0","   0","  81","   0","   0","   0","   0","   0","   7","   0"," 593","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","  56","   5","   0","   0","   0","  11","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0"," 310","   0","   6","   0","  47","  14","  28","   0","   0","   0","   0","   2","   2","  18","   6","   0","   0","   0","   0","   1","   0","  76","   0","   5","   0","   0","  53","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0"
"4283",NA,NA," 245","   7","   0","   0","   0","   0","   1","   3","   0","   0","   0","  17","   0","  16","   0","   0","   0","  15","   0","  15","   0","   1","   0","   1","   8","   0","   0","   0","   0","   4","   0","   0","  68","   1","  58","   0","  36","   0","   0","  95","   0","   0","   1","   0","   0","   4","   0"," 385","   0","   1","   0","   0","   0","   7","   0","   2","   1","   0","   0","   0","   0","  31","   0","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   4","   1","   0","   0","   0","   1","   0"," 280","   0","   2","   0","  27","   8","  40","   0","   0","   0","   0","   1","   2","  11","   8","   0","   0","   0","   0","   1","   1","  25","   0","   1","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"
"4319",NA,NA," 247","   5","   0","   0","   0","   0","   1","   4","   0","   0","   0","  18","   0","   9","   2","   0","   0","  11","   0","  18","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   1","   1","  98","   0","  60","   0","   0"," 165","   0","   0","   0","   0","   0","   4","   0"," 930","   0","   2","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","  46","   0","   0","   0","   0","   2","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 315","   0","   4","   0","  27","   5","  26","   0","   0","   0","   0","   0","   1","  14","   5","   0","   0","   0","   1","   0","   2","  14","   0","   5","   0","   0","  22","   0","   0","   0","   2","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4371",NA,NA," 250","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","  16","   0","   3","   1","   0","   0","   5","   0","   7","   0","   1","   0","   0","   2","   0","   0","   0","   0","   8","   0","   0","   2","   0","  50","   0","  42","   0","   0"," 120","   0","   0","   0","   0","   0","   0","   1"," 231","   0","   2","   0","   0","   0","   1","   0","   1","   2","   0","   0","   1","   0","  28","   3","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 284","   0","   1","   0","   7","   5","   7","   0","   0","   0","   0","   0","   1","  14","   1","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4407",NA,NA," 252","   8","   0","   0","   0","   0","   1","   5","   0","   0","   0","  42","   0","   3","   0","   0","   0","   9","   0","  20","   0","   0","   0","   0","   3","   1","   0","   0","   0","   5","   0","   0","   3","   3","  75","   0","  59","   0","   0"," 161","   0","   0","   0","   0","   0","   6","   0"," 317","   0","   1","   0","   0","   0","   4","   0","   0","   3","   0","   0","   0","   0","  42","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0"," 351","   0","   1","   0","  24","   7","  20","   0","   0","   0","   0","   2","   1","   3","   3","   0","   0","   0","   0","   0","   1","  14","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4459",NA,NA," 255","   8","   0","   0","   0","   0","   0","   5","   0","   0","   0","  37","   0","   5","   0","   0","   0","   8","   0","  16","   0","   0","   0","   0","   3","   0","   0","   0","   0","   5","   0","   0","   1","   0"," 105","   0","  77","   0","   0"," 179","   0","   0","   0","   0","   0","   2","   0"," 288","   0","   2","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  52","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 545","   0","   1","   0","   6","   4","  23","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"4494",NA,NA," 257","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","  31","   0","   7","   0","   0","   0","   6","   0","  13","   0","   1","   0","   0","   2","   0","   0","   0","   0","   9","   0","   0","   2","   0","  60","   0","  49","   0","   0"," 150","   0","   0","   0","   0","   0","   7","   0"," 213","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 305","   0","   1","   0","  21","   5","  17","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4725",NA,NA," 270","   5","   0","   0","   0","   0","   1","  15","   0","   0","   0"," 127","   1","  11","   0","   0","   0","  19","   0","  63","   0","   0","   0","   0","   4","   0","   0","   0","   0","  13","   0","   0","   6","   0","  24","   0"," 184","   0","   0"," 226","   0","   0","   1","   1","   0","   2","   0"," 158","   0","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  39","  26","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 210","   0","   3","   0","  12","   5","  57","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"
"5081",NA,NA," 290","   1","   0","   0","   0","   0","   0","   8","   0","   0","   0","  85","   0","   8","   0","   0","   0","   7","   0","  58","   0","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   0","  10","   0","  21","   0"," 161","   0","   0","  92","   0","   0","   0","   0","   0","   1","   0","  54","   0","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  41","   1","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 161","   0","   0","   0","   7","   4","  16","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5433",NA,NA," 310","   4","   0","   0","   0","   0","   0","   9","   0","   0","   0"," 109","   0","  18","   0","   0","   0","  13","   0","  48","   0","   2","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","  22","   0","  46","   0"," 248","   0","   0"," 287","   0","   0","   0","   0","   0","   0","   0","  61","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","  54","   6","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 235","   0","   0","   0","  15","   2","  37","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0"
"5787",NA,NA," 330","   4","   0","   0","   0","   0","   3","   8","   0","   0","   0"," 116","   0","  31","   1","   0","   0","  22","   0","  28","   0","   0","   2","   0","   1","   0","   0","   0","   0","   9","   0","   0","  16","   0","  35","   0"," 217","   0","   0"," 111","   0","   0","   0","   1","   0","   0","   0","  28","   0","   5","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","  39","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 124","   0","   0","   0","  20","   6","  27","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","  32","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6144",NA,NA," 350","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","   0","   7","   0","   0","   0","   3","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   6","   0","  72","   0"," 100","   0","   0","  55","   0","   0","   0","   1","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 251","   0","   1","   0","   3","   0","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6500",NA,NA," 370","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","  47","   0","   6","   0","   0","   0","   9","   0","  12","   0","   1","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   8","   0","  48","   0","  68","   0","   0","  58","   0","   0","   0","   1","   0","   0","   0","  14","   0","   2","   0","   0","   0","   1","   0","   0","   2","   3","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","  70","   0","   0","   0","   5","   1","  20","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6850",NA,NA," 390","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   7","   0"," 118","   0","  26","   0","   0","  27","   0","   0","   1","   0","   0","   0","   0","  12","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  98","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 180","   0","   1","   0","   5","   3","   5","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"7025",NA,NA," 400","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  24","   0","   0","   0","   0","   0","   6","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   2","   0","  60","   0","  20","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   9","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  74","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  54","   0","   0","   0","   4","   2","   6","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0"
"7240",NA,NA," 410","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  31","   0","   3","   0","   0","   0","   7","   0","  14","   0","   3","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   6","   0"," 144","   0","  33","   0","   0","  43","   0","   0","   3","   0","   0","   0","   0","  14","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"," 206","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 176","   0","   1","   0","   8","   1","  11","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"
"7465",NA,NA," 420","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   3","   0","   0","   0","   5","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   6","   0"," 123","   0","  30","   0","   0","  41","   0","   0","   1","   0","   0","   3","   0","  14","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"," 362","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0"," 141","   0","   0","   0","  11","   1","  21","   0","   0","   0","   0","   0","   1","   2","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0"
"7688",NA,NA," 430","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  29","   0","   1","   0","   0","   0","  16","   0","   7","   0","   6","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   4","   0"," 121","   0","  21","   0","   0","  61","   0","   0","   0","   0","   0","   2","   0","  28","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0"," 518","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 118","   0","   1","   0","  26","   8","  11","   0","   0","   0","   0","   0","   0","  14","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   1","   0","   0","   0","   0","   1","   0"
"7908",NA,NA," 440","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","  45","   0","  10","   3","   0","   0","  17","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","   2","   0"," 113","   0","  27","   0","   0","  46","   0","   0","   0","   0","   0","   3","   0","  37","   0","   4","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0"," 406","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  79","   0","   0","   0","  26","   5","  14","   0","   0","   0","   0","   0","   0","  11","   9","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  39","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   2","   0","   0","   0","   0","   1","   0"
"8133",NA,NA," 450","   0","   1","   0","   0","   0","   2","   2","   0","   0","   0","  53","   0","   4","   0","   0","   0","  44","   0","  14","   0","   0","   0","   0","   3","   0","   0","   0","   0","  16","   0","   0","   1","   0"," 201","   0","  17","   0","   0","  47","   0","   0","   2","   1","   0","   4","   0","  24","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"," 224","   1","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   7","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0"," 180","   0","   0","   1","  19","   5","  18","   0","   0","   0","   0","   0","   0","  18","   2","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   5","   1","   0","   0","   0","   1","   0","   1","   0"
"8360",NA,NA," 460","   0","   1","   0","   0","   0","   1","   2","   0","   0","   0","  38","   0","   1","   0","   0","   0","  23","   0","   6","   0","   2","   0","   0","   1","   0","   0","   1","   0","  12","   0","   0","   4","   0"," 196","   0","  23","   0","   0","  46","   0","   0","   1","   1","   0","   4","   0","  32","   0","   5","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0"," 187","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 136","   0","   0","   0","  13","   2","  13","   1","   0","   0","   0","   0","   0","  14","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  39","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   5","   0","   0","   1","   0","   0","   0","   1","   0"
"8585",NA,NA," 470","   0","   0","   0","   0","   0","   2","   6","   0","   1","   0","  64","   0","   3","   0","   0","   0","  51","   0","  40","   0","   5","   0","   0","   3","   0","   0","   0","   0","   9","   0","   0","   3","   0"," 113","   0","  18","   0","   0","  15","   0","   0","   0","   2","   0","  10","   0","  32","   0","   1","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0"," 177","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  66","   0","   0","   0","  48","   5","  16","   0","   0","   0","   0","   0","   2","  13","   6","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","  78","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0"
"8811",NA,NA," 480","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  41","   0","   4","   0","   0","   0","  41","   0","   3","   0","   0","   0","   0","   8","   0","   0","   0","   0","  12","   0","   0","   7","   0","  72","   0","  22","   0","   0","  33","   0","   0","   0","   1","   0","  11","   0"," 105","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  99","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  30","   0","   0","   0","  61","   3","  13","   0","   0","   0","   0","   0","   0","  22","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 129","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0"
